address_key,address_natural_key,line1,line2,city,province_id,province_name,postal_code,country_code
27,1023,Calle 6609,Piso 12 Dto C,La Plata,1,Buenos Aires,6342,AR
28,1024,Calle 2280,Piso 3 Dto B,Córdoba,2,Córdoba,7247,AR
29,1025,Calle 8758,Piso 7 Dto A,Mendoza,4,Mendoza,2779,AR
30,1026,Calle 4992,,Villa Carlos Paz,2,Córdoba,3910,AR
31,1027,Calle 8006,,Rafaela,3,Santa Fe,2138,AR
32,1028,Calle 4770,,CABA,1,Buenos Aires,8449,AR
33,1029,Calle 2816,Piso 6 Dto B,CABA,1,Buenos Aires,3572,AR
34,1030,Calle 7836,Piso 12 Dto A,La Plata,1,Buenos Aires,4382,AR
35,1031,Calle 7082,Piso 12 Dto C,Santa Fe,3,Santa Fe,3601,AR
36,1032,Calle 7520,,Río Cuarto,2,Córdoba,3337,AR
37,1033,Calle 9910,Piso 4 Dto C,La Plata,1,Buenos Aires,9043,AR
38,1034,Calle 1493,Piso 5 Dto C,CABA,1,Buenos Aires,6681,AR
39,1035,Calle 6801,Piso 4 Dto A,CABA,1,Buenos Aires,8501,AR
40,1036,Calle 9317,,Mendoza,4,Mendoza,4927,AR
41,1037,Calle 8811,,Mar del Plata,1,Buenos Aires,4559,AR
42,1038,Calle 1987,,Mar del Plata,1,Buenos Aires,9264,AR
43,1039,Calle 4142,,CABA,1,Buenos Aires,8572,AR
44,1040,Calle 7568,Piso 7 Dto B,Mar del Plata,1,Buenos Aires,4185,AR
45,1041,Calle 1879,Piso 12 Dto A,La Plata,1,Buenos Aires,8606,AR
46,1042,Calle 8986,Piso 11 Dto A,CABA,1,Buenos Aires,3297,AR
47,1043,Calle 2795,,Rosario,3,Santa Fe,3903,AR
48,1044,Calle 6404,,Mar del Plata,1,Buenos Aires,5476,AR
49,1045,Calle 3550,,CABA,1,Buenos Aires,8242,AR
50,1046,Calle 1685,Piso 7 Dto C,Rafaela,3,Santa Fe,8274,AR
51,1047,Calle 6184,Piso 4 Dto A,Córdoba,2,Córdoba,4908,AR
52,1048,Calle 458,,La Plata,1,Buenos Aires,2035,AR
53,1049,Calle 2751,,Mendoza,4,Mendoza,7810,AR
54,1050,Calle 5287,,La Plata,1,Buenos Aires,4393,AR
55,1051,Calle 1980,,La Plata,1,Buenos Aires,6842,AR
56,1052,Calle 5182,,La Plata,1,Buenos Aires,8516,AR
57,1053,Calle 6046,,La Plata,1,Buenos Aires,7735,AR
58,1054,Calle 1669,,Santa Fe,3,Santa Fe,5127,AR
59,1055,Calle 6367,,Río Cuarto,2,Córdoba,6440,AR
60,1056,Calle 5210,,Río Cuarto,2,Córdoba,6490,AR
61,1057,Calle 7355,,Río Cuarto,2,Córdoba,9248,AR
62,1058,Calle 2033,Piso 5 Dto A,Mar del Plata,1,Buenos Aires,4990,AR
63,1059,Calle 8172,,La Plata,1,Buenos Aires,7156,AR
64,1060,Calle 9799,Piso 8 Dto C,Córdoba,2,Córdoba,3199,AR
65,1061,Calle 8534,Piso 7 Dto C,CABA,1,Buenos Aires,1388,AR
66,1062,Calle 5616,,Santa Fe,3,Santa Fe,5068,AR
67,1063,Calle 8544,Piso 6 Dto A,Villa Carlos Paz,2,Córdoba,1099,AR
68,1064,Calle 3154,,Rosario,3,Santa Fe,4345,AR
69,1065,Calle 8993,,Mar del Plata,1,Buenos Aires,7983,AR
70,1066,Calle 3237,,Mar del Plata,1,Buenos Aires,5079,AR
71,1067,Calle 3300,,La Plata,1,Buenos Aires,6891,AR
72,1068,Calle 7232,Piso 7 Dto C,La Plata,1,Buenos Aires,3553,AR
73,1069,Calle 7003,,La Plata,1,Buenos Aires,3878,AR
74,1070,Calle 7432,Piso 5 Dto B,La Plata,1,Buenos Aires,2178,AR
75,1071,Calle 3207,,La Plata,1,Buenos Aires,1210,AR
76,1072,Calle 8052,Piso 7 Dto B,Villa Carlos Paz,2,Córdoba,7113,AR
77,1073,Calle 9639,,Mar del Plata,1,Buenos Aires,3039,AR
78,1074,Calle 3183,Piso 7 Dto B,Mendoza,4,Mendoza,9349,AR
79,1075,Calle 946,Piso 11 Dto B,Villa Carlos Paz,2,Córdoba,5043,AR
80,1076,Calle 463,,La Plata,1,Buenos Aires,5281,AR
81,1077,Calle 4167,,Mendoza,4,Mendoza,1202,AR
82,1078,Calle 6298,,Rafaela,3,Santa Fe,9495,AR
83,1079,Calle 6994,Piso 5 Dto C,Rosario,3,Santa Fe,9202,AR
84,1080,Calle 9603,Piso 5 Dto C,Villa Carlos Paz,2,Córdoba,2456,AR
85,1081,Calle 2339,,Villa Carlos Paz,2,Córdoba,7520,AR
86,1082,Calle 8057,,CABA,1,Buenos Aires,7845,AR
87,1083,Calle 7061,Piso 3 Dto A,La Plata,1,Buenos Aires,4053,AR
88,1084,Calle 8235,,CABA,1,Buenos Aires,4041,AR
89,1085,Calle 3144,Piso 5 Dto B,CABA,1,Buenos Aires,2789,AR
90,1086,Calle 6189,,CABA,1,Buenos Aires,6605,AR
91,1087,Calle 7950,,Villa Carlos Paz,2,Córdoba,2000,AR
92,1088,Calle 9543,,Rosario,3,Santa Fe,9557,AR
93,1089,Calle 4356,Piso 8 Dto B,Mar del Plata,1,Buenos Aires,8036,AR
94,1090,Calle 5165,Piso 4 Dto B,La Plata,1,Buenos Aires,7200,AR
95,1091,Calle 1642,Piso 1 Dto B,Godoy Cruz,4,Mendoza,3275,AR
96,1092,Calle 4579,Piso 12 Dto A,Río Cuarto,2,Córdoba,8404,AR
97,1093,Calle 3080,Piso 1 Dto C,Mar del Plata,1,Buenos Aires,1272,AR
98,1094,Calle 5334,,Rafaela,3,Santa Fe,8938,AR
99,1095,Calle 5708,,Córdoba,2,Córdoba,7305,AR
100,1096,Calle 2346,,Río Cuarto,2,Córdoba,3094,AR
101,1097,Calle 8991,Piso 8 Dto A,Santa Fe,3,Santa Fe,2895,AR
102,1098,Calle 3988,,Córdoba,2,Córdoba,2728,AR
103,1099,Calle 2626,Piso 6 Dto B,Mendoza,4,Mendoza,4610,AR
104,1100,Calle 2017,Piso 11 Dto A,Río Cuarto,2,Córdoba,2481,AR
105,1101,Calle 9842,Piso 2 Dto C,Rafaela,3,Santa Fe,7176,AR
106,1102,Calle 7160,Piso 4 Dto A,Río Cuarto,2,Córdoba,2895,AR
107,1103,Calle 5575,,CABA,1,Buenos Aires,2902,AR
108,1104,Calle 6230,,La Plata,1,Buenos Aires,6092,AR
109,1105,Calle 6360,Piso 7 Dto B,Córdoba,2,Córdoba,3069,AR
110,1106,Calle 3640,,Río Cuarto,2,Córdoba,9819,AR
111,1107,Calle 3587,Piso 8 Dto C,La Plata,1,Buenos Aires,3415,AR
112,1108,Calle 563,Piso 10 Dto B,Mar del Plata,1,Buenos Aires,9230,AR
113,1109,Calle 9404,,Mar del Plata,1,Buenos Aires,9110,AR
114,1110,Calle 964,,Villa Carlos Paz,2,Córdoba,4687,AR
115,1111,Calle 7988,Piso 12 Dto B,Mendoza,4,Mendoza,3608,AR
116,1112,Calle 6922,Piso 11 Dto B,La Plata,1,Buenos Aires,7412,AR
117,1113,Calle 4638,,Mar del Plata,1,Buenos Aires,9978,AR
118,1114,Calle 9510,Piso 1 Dto C,La Plata,1,Buenos Aires,8496,AR
119,1115,Calle 7905,,Villa Carlos Paz,2,Córdoba,4573,AR
120,1116,Calle 5935,,Córdoba,2,Córdoba,3418,AR
121,1117,Calle 2757,Piso 1 Dto A,Godoy Cruz,4,Mendoza,8763,AR
122,1118,Calle 8445,Piso 11 Dto B,Mendoza,4,Mendoza,3434,AR
123,1119,Calle 3947,Piso 7 Dto B,CABA,1,Buenos Aires,3826,AR
124,1120,Calle 1469,Piso 8 Dto C,Rafaela,3,Santa Fe,5509,AR
125,1121,Calle 1911,Piso 2 Dto A,CABA,1,Buenos Aires,9351,AR
126,1122,Calle 9382,,Mar del Plata,1,Buenos Aires,3967,AR
127,1123,Calle 7106,,Mar del Plata,1,Buenos Aires,2629,AR
128,1124,Calle 3030,,Mar del Plata,1,Buenos Aires,7451,AR
129,1125,Calle 8005,,Rafaela,3,Santa Fe,4399,AR
130,1126,Calle 2949,Piso 1 Dto C,Mar del Plata,1,Buenos Aires,6149,AR
131,1127,Calle 3379,,Mar del Plata,1,Buenos Aires,5206,AR
132,1128,Calle 8293,,CABA,1,Buenos Aires,7931,AR
133,1129,Calle 8511,Piso 5 Dto C,CABA,1,Buenos Aires,3291,AR
134,1130,Calle 5770,,Río Cuarto,2,Córdoba,2622,AR
135,1131,Calle 2322,,CABA,1,Buenos Aires,4539,AR
136,1132,Calle 6915,Piso 2 Dto C,Mar del Plata,1,Buenos Aires,5270,AR
137,1133,Calle 6555,Piso 8 Dto A,Córdoba,2,Córdoba,7968,AR
138,1134,Calle 4414,,CABA,1,Buenos Aires,7097,AR
139,1135,Calle 9912,,Río Cuarto,2,Córdoba,6183,AR
140,1136,Calle 4056,,Mar del Plata,1,Buenos Aires,9707,AR
141,1137,Calle 1081,,Villa Carlos Paz,2,Córdoba,6944,AR
142,1138,Calle 3699,,Rosario,3,Santa Fe,7179,AR
143,1139,Calle 2024,Piso 3 Dto C,CABA,1,Buenos Aires,9021,AR
144,1140,Calle 9375,Piso 5 Dto C,Mar del Plata,1,Buenos Aires,2623,AR
145,1141,Calle 2961,Piso 6 Dto C,La Plata,1,Buenos Aires,8812,AR
146,1142,Calle 8415,,Mar del Plata,1,Buenos Aires,3337,AR
147,1143,Calle 867,Piso 12 Dto C,Villa Carlos Paz,2,Córdoba,5081,AR
148,1144,Calle 7192,Piso 6 Dto B,Córdoba,2,Córdoba,5519,AR
149,1145,Calle 3749,,Mar del Plata,1,Buenos Aires,6007,AR
150,1146,Calle 1303,,Rosario,3,Santa Fe,2534,AR
151,1147,Calle 4684,,Córdoba,2,Córdoba,7946,AR
152,1148,Calle 7859,,Mendoza,4,Mendoza,7643,AR
153,1149,Calle 120,Piso 12 Dto B,Río Cuarto,2,Córdoba,5001,AR
154,1150,Calle 9952,,Córdoba,2,Córdoba,3864,AR
155,1151,Calle 8417,Piso 6 Dto A,CABA,1,Buenos Aires,9118,AR
156,1152,Calle 5538,,CABA,1,Buenos Aires,5752,AR
157,1153,Calle 3491,Piso 1 Dto C,La Plata,1,Buenos Aires,4562,AR
158,1154,Calle 8447,Piso 1 Dto B,San Rafael,4,Mendoza,1942,AR
159,1155,Calle 5383,,La Plata,1,Buenos Aires,1084,AR
160,1156,Calle 6588,,Rosario,3,Santa Fe,8058,AR
161,1157,Calle 8427,,Mar del Plata,1,Buenos Aires,8985,AR
162,1158,Calle 4099,Piso 4 Dto B,Mar del Plata,1,Buenos Aires,7132,AR
163,1159,Calle 8789,Piso 5 Dto A,CABA,1,Buenos Aires,8198,AR
164,1160,Calle 7111,,Mar del Plata,1,Buenos Aires,2813,AR
165,1161,Calle 6465,Piso 7 Dto C,CABA,1,Buenos Aires,1517,AR
166,1162,Calle 4355,Piso 2 Dto B,Villa Carlos Paz,2,Córdoba,9119,AR
167,1163,Calle 8223,Piso 12 Dto C,La Plata,1,Buenos Aires,3153,AR
168,1164,Calle 2067,,Mendoza,4,Mendoza,4874,AR
169,1165,Calle 7040,,Villa Carlos Paz,2,Córdoba,8116,AR
170,1166,Calle 1354,,La Plata,1,Buenos Aires,9376,AR
171,1167,Calle 4318,Piso 12 Dto A,CABA,1,Buenos Aires,4250,AR
172,1168,Calle 8231,,Córdoba,2,Córdoba,3436,AR
173,1169,Calle 629,,La Plata,1,Buenos Aires,7984,AR
174,1170,Calle 835,Piso 7 Dto B,Córdoba,2,Córdoba,4791,AR
175,1171,Calle 1006,,La Plata,1,Buenos Aires,5985,AR
176,1172,Calle 5752,,La Plata,1,Buenos Aires,6240,AR
177,1173,Calle 855,Piso 11 Dto C,CABA,1,Buenos Aires,4473,AR
178,1174,Calle 1651,Piso 7 Dto A,Mar del Plata,1,Buenos Aires,9049,AR
179,1175,Calle 1588,,CABA,1,Buenos Aires,6426,AR
180,1176,Calle 9649,Piso 9 Dto C,Villa Carlos Paz,2,Córdoba,4903,AR
181,1177,Calle 1430,,La Plata,1,Buenos Aires,1672,AR
182,1178,Calle 1617,Piso 2 Dto C,La Plata,1,Buenos Aires,5939,AR
183,1179,Calle 8742,,Mendoza,4,Mendoza,3094,AR
184,1180,Calle 4138,Piso 9 Dto B,Mar del Plata,1,Buenos Aires,8347,AR
185,1181,Calle 7911,,Mendoza,4,Mendoza,3735,AR
186,1182,Calle 4746,,Córdoba,2,Córdoba,4116,AR
187,1183,Calle 8413,Piso 2 Dto A,Mar del Plata,1,Buenos Aires,9344,AR
188,1184,Calle 6568,,Villa Carlos Paz,2,Córdoba,4015,AR
189,1185,Calle 9702,Piso 12 Dto A,CABA,1,Buenos Aires,9254,AR
190,1186,Calle 4856,,CABA,1,Buenos Aires,3803,AR
191,1187,Calle 4782,,CABA,1,Buenos Aires,5550,AR
192,1188,Calle 4080,,CABA,1,Buenos Aires,1022,AR
193,1189,Calle 5318,Piso 2 Dto C,Villa Carlos Paz,2,Córdoba,3189,AR
194,1190,Calle 5319,,Santa Fe,3,Santa Fe,6824,AR
195,1191,Calle 2896,,Villa Carlos Paz,2,Córdoba,7258,AR
196,1192,Calle 9902,Piso 9 Dto A,Rafaela,3,Santa Fe,4614,AR
197,1193,Calle 6480,,Mar del Plata,1,Buenos Aires,8109,AR
198,1194,Calle 1536,Piso 8 Dto A,La Plata,1,Buenos Aires,4031,AR
199,1195,Calle 2956,,La Plata,1,Buenos Aires,6081,AR
200,1196,Calle 9959,,Santa Fe,3,Santa Fe,2180,AR
201,1197,Calle 6595,,Mar del Plata,1,Buenos Aires,1193,AR
202,1198,Calle 1803,,CABA,1,Buenos Aires,3165,AR
203,1199,Calle 2337,,Santa Fe,3,Santa Fe,1153,AR
204,1200,Calle 1393,Piso 4 Dto A,La Plata,1,Buenos Aires,8279,AR
205,1201,Calle 2532,Piso 4 Dto A,La Plata,1,Buenos Aires,9906,AR
206,1202,Calle 1685,,CABA,1,Buenos Aires,9381,AR
207,1203,Calle 394,Piso 4 Dto B,CABA,1,Buenos Aires,3414,AR
208,1204,Calle 6304,,Córdoba,2,Córdoba,9057,AR
209,1205,Calle 1667,,Mendoza,4,Mendoza,6467,AR
210,1206,Calle 711,,CABA,1,Buenos Aires,8022,AR
211,1207,Calle 6968,Piso 3 Dto C,CABA,1,Buenos Aires,5702,AR
212,1208,Calle 8180,Piso 11 Dto B,Santa Fe,3,Santa Fe,2251,AR
213,1209,Calle 2402,Piso 6 Dto A,Rosario,3,Santa Fe,8318,AR
214,1210,Calle 9468,Piso 7 Dto C,Rosario,3,Santa Fe,3370,AR
215,1211,Calle 2980,Piso 7 Dto B,CABA,1,Buenos Aires,9097,AR
216,1212,Calle 9859,,La Plata,1,Buenos Aires,5028,AR
217,1213,Calle 8827,,La Plata,1,Buenos Aires,7301,AR
218,1214,Calle 8634,,Villa Carlos Paz,2,Córdoba,2429,AR
219,1215,Calle 282,Piso 6 Dto C,CABA,1,Buenos Aires,3188,AR
220,1216,Calle 5913,Piso 3 Dto B,La Plata,1,Buenos Aires,3361,AR
221,1217,Calle 3974,,Godoy Cruz,4,Mendoza,3257,AR
222,1218,Calle 2345,,San Rafael,4,Mendoza,7958,AR
223,1219,Calle 9530,,CABA,1,Buenos Aires,1494,AR
224,1220,Calle 4015,Piso 2 Dto A,CABA,1,Buenos Aires,3452,AR
225,1221,Calle 8642,Piso 12 Dto B,CABA,1,Buenos Aires,7742,AR
226,1222,Calle 217,,Mar del Plata,1,Buenos Aires,1983,AR
227,1223,Calle 8246,Piso 3 Dto A,Córdoba,2,Córdoba,7940,AR
228,1224,Calle 9373,,Villa Carlos Paz,2,Córdoba,7941,AR
229,1225,Calle 8545,,CABA,1,Buenos Aires,7560,AR
230,1226,Calle 9164,Piso 10 Dto A,CABA,1,Buenos Aires,8821,AR
231,1227,Calle 6234,Piso 3 Dto A,Villa Carlos Paz,2,Córdoba,7950,AR
232,1228,Calle 1275,Piso 6 Dto C,CABA,1,Buenos Aires,1459,AR
233,1229,Calle 1745,,Mar del Plata,1,Buenos Aires,6064,AR
234,1230,Calle 531,,Río Cuarto,2,Córdoba,1735,AR
235,1231,Calle 749,,Godoy Cruz,4,Mendoza,6056,AR
236,1232,Calle 6524,Piso 9 Dto A,Godoy Cruz,4,Mendoza,7400,AR
237,1233,Calle 1596,,San Rafael,4,Mendoza,9227,AR
238,1234,Calle 7815,Piso 10 Dto A,La Plata,1,Buenos Aires,3641,AR
239,1235,Calle 1529,,Córdoba,2,Córdoba,3307,AR
240,1236,Calle 8460,Piso 12 Dto C,San Rafael,4,Mendoza,8331,AR
241,1237,Calle 7060,Piso 1 Dto C,La Plata,1,Buenos Aires,4917,AR
242,1238,Calle 1229,Piso 3 Dto C,San Rafael,4,Mendoza,2595,AR
243,1239,Calle 8965,,La Plata,1,Buenos Aires,8451,AR
244,1240,Calle 2646,Piso 2 Dto B,La Plata,1,Buenos Aires,6789,AR
245,1241,Calle 7549,Piso 5 Dto B,Mar del Plata,1,Buenos Aires,8242,AR
246,1242,Calle 8000,Piso 1 Dto B,San Rafael,4,Mendoza,7568,AR
247,1243,Calle 2114,Piso 8 Dto B,Rafaela,3,Santa Fe,7122,AR
248,1244,Calle 7375,,Río Cuarto,2,Córdoba,1934,AR
249,1245,Calle 131,Piso 3 Dto A,Río Cuarto,2,Córdoba,7157,AR
250,1246,Calle 3655,,Córdoba,2,Córdoba,6716,AR
251,1247,Calle 7617,,Mar del Plata,1,Buenos Aires,2775,AR
252,1248,Calle 6579,Piso 6 Dto A,Rosario,3,Santa Fe,6610,AR
253,1249,Calle 7803,Piso 2 Dto B,Mar del Plata,1,Buenos Aires,1627,AR
254,1250,Calle 2385,Piso 11 Dto A,La Plata,1,Buenos Aires,1513,AR
255,1251,Calle 7047,,La Plata,1,Buenos Aires,4465,AR
256,1252,Calle 6930,,San Rafael,4,Mendoza,2369,AR
257,1253,Calle 1339,Piso 5 Dto C,La Plata,1,Buenos Aires,7876,AR
258,1254,Calle 3016,Piso 1 Dto A,La Plata,1,Buenos Aires,6603,AR
259,1255,Calle 6867,,La Plata,1,Buenos Aires,8156,AR
260,1256,Calle 6376,,San Rafael,4,Mendoza,2274,AR
261,1257,Calle 5186,Piso 1 Dto A,Mar del Plata,1,Buenos Aires,3416,AR
262,1258,Calle 6659,,Rosario,3,Santa Fe,8381,AR
263,1259,Calle 9477,,Río Cuarto,2,Córdoba,4074,AR
264,1260,Calle 9846,Piso 7 Dto A,Córdoba,2,Córdoba,4436,AR
265,1261,Calle 236,,San Rafael,4,Mendoza,5947,AR
266,1262,Calle 8178,Piso 11 Dto B,CABA,1,Buenos Aires,7723,AR
267,1263,Calle 6978,,Mar del Plata,1,Buenos Aires,3880,AR
268,1264,Calle 9057,Piso 10 Dto A,CABA,1,Buenos Aires,7251,AR
269,1265,Calle 7168,,Rafaela,3,Santa Fe,2435,AR
270,1266,Calle 6739,,CABA,1,Buenos Aires,8276,AR
271,1267,Calle 4750,,Córdoba,2,Córdoba,8448,AR
272,1268,Calle 7694,Piso 2 Dto B,CABA,1,Buenos Aires,7765,AR
273,1269,Calle 3669,Piso 9 Dto B,La Plata,1,Buenos Aires,5333,AR
274,1270,Calle 3958,,Santa Fe,3,Santa Fe,1254,AR
275,1271,Calle 8503,Piso 12 Dto C,La Plata,1,Buenos Aires,6490,AR
276,1272,Calle 3963,,Godoy Cruz,4,Mendoza,7444,AR
277,1273,Calle 7031,Piso 3 Dto C,Rafaela,3,Santa Fe,3846,AR
278,1274,Calle 2596,,San Rafael,4,Mendoza,3069,AR
279,1275,Calle 6423,,Mar del Plata,1,Buenos Aires,6282,AR
280,1276,Calle 7167,,CABA,1,Buenos Aires,1455,AR
281,1277,Calle 9369,,Mendoza,4,Mendoza,8433,AR
282,1278,Calle 3634,,Mar del Plata,1,Buenos Aires,7194,AR
283,1279,Calle 1360,,Villa Carlos Paz,2,Córdoba,2694,AR
284,1280,Calle 2011,Piso 2 Dto A,Mar del Plata,1,Buenos Aires,5292,AR
285,1281,Calle 5922,,La Plata,1,Buenos Aires,9045,AR
286,1282,Calle 1251,Piso 4 Dto C,La Plata,1,Buenos Aires,7148,AR
287,1283,Calle 2640,,Villa Carlos Paz,2,Córdoba,3927,AR
288,1284,Calle 5682,,La Plata,1,Buenos Aires,3595,AR
289,1285,Calle 3160,,Córdoba,2,Córdoba,9486,AR
290,1286,Calle 5979,,Rosario,3,Santa Fe,6366,AR
291,1287,Calle 2074,Piso 5 Dto B,Mar del Plata,1,Buenos Aires,4264,AR
292,1288,Calle 4823,Piso 8 Dto C,Mar del Plata,1,Buenos Aires,8144,AR
293,1289,Calle 4098,Piso 3 Dto A,Mendoza,4,Mendoza,7436,AR
294,1290,Calle 5106,Piso 3 Dto A,Río Cuarto,2,Córdoba,8101,AR
295,1291,Calle 4452,,Mar del Plata,1,Buenos Aires,7275,AR
296,1292,Calle 6127,Piso 11 Dto A,La Plata,1,Buenos Aires,3740,AR
297,1293,Calle 9616,Piso 7 Dto B,Godoy Cruz,4,Mendoza,7525,AR
298,1294,Calle 7036,,La Plata,1,Buenos Aires,2190,AR
299,1295,Calle 2377,,Villa Carlos Paz,2,Córdoba,6219,AR
300,1296,Calle 7625,,Córdoba,2,Córdoba,2085,AR
301,1297,Calle 8639,Piso 4 Dto A,CABA,1,Buenos Aires,2225,AR
302,1298,Calle 5207,,Villa Carlos Paz,2,Córdoba,1813,AR
303,1299,Calle 6902,Piso 2 Dto A,La Plata,1,Buenos Aires,3803,AR
304,1300,Calle 9444,,Córdoba,2,Córdoba,1076,AR
305,1301,Calle 607,,La Plata,1,Buenos Aires,6527,AR
306,1302,Calle 6801,Piso 12 Dto B,CABA,1,Buenos Aires,6196,AR
307,1303,Calle 5132,,Mar del Plata,1,Buenos Aires,7444,AR
308,1304,Calle 8083,Piso 11 Dto A,Villa Carlos Paz,2,Córdoba,2683,AR
309,1305,Calle 2274,Piso 2 Dto B,CABA,1,Buenos Aires,4708,AR
310,1306,Calle 6044,,Mar del Plata,1,Buenos Aires,5254,AR
311,1307,Calle 1230,Piso 5 Dto B,La Plata,1,Buenos Aires,5422,AR
312,1308,Calle 7549,Piso 2 Dto A,San Rafael,4,Mendoza,3424,AR
313,1309,Calle 2005,,Río Cuarto,2,Córdoba,8830,AR
314,1310,Calle 7909,Piso 4 Dto A,Godoy Cruz,4,Mendoza,5853,AR
315,1311,Calle 3374,,CABA,1,Buenos Aires,9103,AR
316,1312,Calle 3542,,Mar del Plata,1,Buenos Aires,8989,AR
317,1313,Calle 8645,Piso 9 Dto B,Mar del Plata,1,Buenos Aires,8438,AR
318,1314,Calle 2131,Piso 4 Dto B,Rosario,3,Santa Fe,8412,AR
319,1315,Calle 3080,Piso 2 Dto B,La Plata,1,Buenos Aires,3690,AR
320,1316,Calle 1673,,San Rafael,4,Mendoza,2805,AR
321,1317,Calle 3065,Piso 5 Dto A,La Plata,1,Buenos Aires,9698,AR
322,1318,Calle 9017,Piso 2 Dto B,CABA,1,Buenos Aires,4474,AR
323,1319,Calle 8322,Piso 6 Dto A,La Plata,1,Buenos Aires,5466,AR
324,1320,Calle 6268,,Mar del Plata,1,Buenos Aires,5816,AR
325,1321,Calle 4521,Piso 9 Dto C,Mar del Plata,1,Buenos Aires,9497,AR
326,1322,Calle 4079,,CABA,1,Buenos Aires,1870,AR
327,1323,Calle 1079,Piso 9 Dto A,Córdoba,2,Córdoba,4710,AR
328,1324,Calle 3603,Piso 12 Dto C,CABA,1,Buenos Aires,9112,AR
329,1325,Calle 5696,Piso 11 Dto B,CABA,1,Buenos Aires,1050,AR
330,1326,Calle 7812,,Mar del Plata,1,Buenos Aires,3789,AR
331,1327,Calle 3070,,Córdoba,2,Córdoba,1208,AR
332,1328,Calle 2909,,CABA,1,Buenos Aires,1159,AR
333,1329,Calle 17,Piso 8 Dto A,San Rafael,4,Mendoza,2792,AR
334,1330,Calle 4763,,Rafaela,3,Santa Fe,3401,AR
335,1331,Calle 5500,Piso 8 Dto B,Mar del Plata,1,Buenos Aires,9940,AR
336,1332,Calle 5969,Piso 8 Dto A,Villa Carlos Paz,2,Córdoba,5933,AR
337,1333,Calle 9761,Piso 8 Dto A,Rafaela,3,Santa Fe,9508,AR
338,1334,Calle 3609,Piso 11 Dto A,La Plata,1,Buenos Aires,9156,AR
339,1335,Calle 7057,,Mar del Plata,1,Buenos Aires,4175,AR
340,1336,Calle 8928,,Villa Carlos Paz,2,Córdoba,5346,AR
341,1337,Calle 9653,Piso 7 Dto B,Santa Fe,3,Santa Fe,4122,AR
342,1338,Calle 5625,Piso 10 Dto A,Río Cuarto,2,Córdoba,8455,AR
343,1339,Calle 8175,Piso 11 Dto A,CABA,1,Buenos Aires,3461,AR
344,1340,Calle 9145,Piso 11 Dto A,San Rafael,4,Mendoza,8976,AR
345,1341,Calle 256,,La Plata,1,Buenos Aires,5636,AR
346,1342,Calle 84,,La Plata,1,Buenos Aires,1817,AR
347,1343,Calle 8225,,La Plata,1,Buenos Aires,2409,AR
348,1344,Calle 3224,,Mar del Plata,1,Buenos Aires,5764,AR
349,1345,Calle 4076,Piso 11 Dto C,La Plata,1,Buenos Aires,7923,AR
350,1346,Calle 4281,Piso 5 Dto C,Mendoza,4,Mendoza,3839,AR
351,1347,Calle 9473,,La Plata,1,Buenos Aires,5096,AR
352,1348,Calle 4933,Piso 5 Dto A,CABA,1,Buenos Aires,8555,AR
