payment_key,customer_key,channel_key,store_key,amount,method,status,paid_at,transaction_ref
123,356,2,1,43560.0,CASH,PAID,2025-08-30 17:57:49,TX-89TOCP8FP1K8
124,530,1,,18987.0,CARD,FAILED,,
125,1420,1,,67367.64,GATEWAY,PAID,2024-02-06 20:15:32,TX-1XC2I92PV07U
126,279,2,3,62073.0,TRANSFER,PAID,2024-07-11 21:16:06,TX-CII1J0F53QB3
127,779,2,3,18150.0,CASH,PAID,2024-06-12 11:24:10,TX-E46XAAD0XH2M
128,1383,1,,69988.5,CARD,PAID,2024-02-29 05:19:21,TX-3DYYWZL0OZT4
129,1189,1,,101470.2,CARD,FAILED,,
130,1016,1,,76858.8,CARD,PAID,2025-09-20 11:24:46,TX-RRK6UJVBP3BA
131,595,2,3,14701.5,CASH,PAID,2025-05-23 01:27:57,TX-J90VB1C4W9I4
132,902,2,4,47916.0,CASH,PAID,2024-01-25 19:24:41,TX-Y1HNXIYYVIWS
133,317,1,,33216.6,CARD,PAID,2024-07-28 03:23:51,TX-M2V0MW405G00
134,1229,2,2,18150.0,TRANSFER,PAID,2024-06-16 02:46:34,TX-Z1JB0OXDFNS8
135,279,2,3,75358.8,CASH,PAID,2024-01-08 22:05:46,TX-98P7PRJHHZH1
136,1498,2,4,39930.0,CASH,PAID,2024-06-01 16:35:31,TX-1CGWJ9S8U287
137,140,1,,34485.0,CARD,PAID,2025-01-22 18:30:04,TX-BW4Q46DERG87
138,1115,1,,14229.6,GATEWAY,PAID,2024-11-18 18:46:06,TX-V1KGVXLOBICL
139,1240,1,,42882.0,CARD,PAID,2024-01-06 06:23:39,TX-PXS2LYM9VUDM
140,590,1,,17535.0,CARD,PAID,2024-04-08 09:11:09,TX-6FRNX7VHUKP5
141,645,2,3,16008.3,CASH,PAID,2025-02-20 04:56:48,TX-KDQIUT6HRCFU
142,545,2,1,14374.8,TRANSFER,REFUNDED,2024-12-03 06:24:24,TX-TJABWHM24N2G
143,1208,1,,62854.26,CARD,REFUNDED,2025-06-26 21:32:09,TX-ATMX5MVNFKMN
144,551,2,1,80586.0,CARD,PAID,2024-06-08 09:59:40,TX-523ARBBR7DKI
145,569,2,1,35937.0,CARD,FAILED,,
146,1305,1,,37800.0,GATEWAY,PAID,2025-07-21 05:47:44,TX-30JNSPSKTRCG
147,280,1,,100951.88,CARD,PAID,2024-05-05 19:52:36,TX-XAZ8J2P7RN3J
148,1338,1,,72701.4,CARD,PAID,2024-12-08 14:23:08,TX-AY74FPLLGRCU
149,84,1,,43888.8,CARD,PAID,2025-06-24 08:11:01,TX-FO8HBF5JCDZ9
150,655,1,,17235.0,GATEWAY,PAID,2025-01-23 19:14:19,TX-Q8HCQUTXQ7XL
151,513,2,4,39131.4,CARD,PAID,2025-05-31 14:20:50,TX-16PJPVWP8VO5
152,884,2,3,42688.8,CARD,PAID,2024-04-17 00:06:04,TX-D5E93RC1Y9LZ
153,385,2,2,11761.2,CARD,PAID,2024-01-09 12:18:03,TX-60N330PGBOPH
154,723,2,2,13068.0,CARD,FAILED,,
155,110,2,1,51455.25,CASH,PAID,2024-07-02 10:02:42,TX-C5TG8BKA8V0I
156,1197,1,,15420.0,CARD,PAID,2024-02-12 02:38:46,TX-QDUILY7E5RXR
157,833,2,2,51727.5,CASH,PAID,2024-10-29 22:18:07,TX-38M7D53IIBFW
158,371,2,3,71692.5,TRANSFER,FAILED,,
159,905,2,1,36300.0,CARD,PAID,2024-04-25 10:37:56,TX-2D7GG3Z4ZLDA
160,389,1,,16141.08,CARD,PAID,2024-07-14 07:58:24,TX-WQF78OSLQBW6
161,1299,2,4,35574.0,TRANSFER,PAID,2024-06-14 23:29:35,TX-OTEFX8XIJPHG
162,725,1,,55350.0,GATEWAY,PAID,2024-10-22 19:31:01,TX-ELH913SD09OY
163,645,2,4,27588.0,CARD,PAID,2025-08-01 20:20:03,TX-8EDJM7W4HXIO
164,584,1,,27036.0,CARD,PAID,2024-02-27 10:30:38,TX-FA2N1L9GFVND
165,436,1,,77130.0,CARD,PAID,2025-02-23 22:18:41,TX-YH73YULSS506
166,293,1,,29959.2,GATEWAY,PAID,2025-08-28 06:06:56,TX-RBYQGYIW59OD
167,1065,1,,53744.25,GATEWAY,PAID,2025-07-29 19:39:32,TX-D8WL2IKBUTZI
168,1234,1,,58172.85,CARD,FAILED,,
169,400,1,,50205.0,CARD,FAILED,,
170,251,1,,14268.0,GATEWAY,PAID,2024-07-09 09:03:47,TX-XQWOUYAADU90
171,764,2,4,36300.0,TRANSFER,PAID,2024-03-29 16:07:40,TX-6YQEF864BWX0
172,1490,1,,15429.6,CARD,PENDING,,
173,181,1,,28488.0,GATEWAY,PAID,2024-05-07 22:39:45,TX-0DQD29Q3T08A
174,693,1,,39315.0,CARD,PAID,2025-06-18 11:40:09,TX-ALLSSFK7QIRJ
175,672,2,2,14229.6,TRANSFER,PAID,2024-09-08 09:13:23,TX-7EGA4TIAD1CG
176,786,1,,15420.0,GATEWAY,PAID,2024-06-02 06:23:40,TX-4RCDBOT74U6U
177,1347,2,2,17968.5,CASH,PAID,2025-02-27 12:13:53,TX-RZQOC4EU0DBF
178,628,1,,16718.25,CARD,PAID,2024-11-25 18:44:13,TX-8KSFQE50C7WX
179,1485,2,2,16335.0,CARD,PAID,2025-05-04 14:20:13,TX-UOPZ2LNTJYIU
180,805,1,,88746.0,GATEWAY,PAID,2025-08-13 13:58:40,TX-3467WCDPI2EY
181,445,1,,31692.0,GATEWAY,PAID,2024-05-22 10:44:42,TX-JKFCQJUKURK1
182,560,1,,29359.2,CARD,PAID,2024-11-13 23:15:20,TX-XWTR1UEIAQ3J
183,403,1,,31546.8,GATEWAY,PAID,2024-09-10 23:03:06,TX-7L09W7WAP0O0
184,693,2,1,32670.0,TRANSFER,PAID,2024-10-28 08:02:26,TX-A0GOAJB6RU3T
185,274,2,2,16335.0,CASH,PAID,2025-05-13 17:25:54,TX-W1W31Q5F7XKK
186,804,1,,73611.24,CARD,PAID,2024-07-20 09:03:50,TX-QLQP66ZVGIMR
187,1495,1,,14694.0,GATEWAY,PAID,2024-07-31 11:31:33,TX-T1WW8PAWHLQ7
188,48,2,1,39204.0,CARD,REFUNDED,2025-02-14 02:45:02,TX-LNM2XQQ0VBQ6
189,661,2,3,32670.0,CARD,PAID,2025-08-25 12:59:12,TX-CGL3TKQVXCRL
190,984,1,,45723.24,GATEWAY,PAID,2024-05-04 16:34:34,TX-RYV7WF3XMBAU
191,1384,1,,14229.6,CARD,PAID,2024-06-06 14:15:54,TX-ACMA2H5CSRRQ
192,788,1,,106896.24,CARD,FAILED,,
193,456,2,2,14520.0,CASH,PAID,2024-03-10 22:48:50,TX-R97RQQIO1QLM
194,427,1,,40404.0,CARD,PAID,2024-02-15 11:24:55,TX-FWUNIBW1GIX5
195,866,1,,54450.0,GATEWAY,PAID,2025-09-15 03:18:48,TX-UI9XQ56QBUBU
196,371,1,,56666.4,CARD,PAID,2025-03-01 17:52:06,TX-L3XKKJLIVBCN
197,1000,1,,37500.0,GATEWAY,PAID,2025-08-17 05:25:58,TX-R18606ZCYXQ6
198,1404,1,,14268.0,GATEWAY,PAID,2024-04-10 02:49:19,TX-511R6MDMB6O7
199,1159,1,,36183.6,CARD,PAID,2024-02-03 22:21:07,TX-HVOGE67SNVCE
200,1040,1,,59280.0,GATEWAY,PAID,2025-03-20 13:29:11,TX-GMUCJI7EKVZA
201,464,1,,27036.0,GATEWAY,PAID,2024-09-27 06:00:56,TX-FVLC254ZH0QA
202,166,1,,50749.5,GATEWAY,REFUNDED,2024-11-17 06:49:12,TX-UHXXCDXF1Q2B
203,1056,2,3,43560.0,CARD,PAID,2025-03-29 04:10:42,TX-9BINMYXDHZ0E
204,925,2,3,39204.0,CARD,PAID,2024-11-18 07:47:20,TX-QCZ1LK4KTCM2
205,488,1,,50205.0,GATEWAY,FAILED,,
206,903,1,,17787.0,CARD,PAID,2024-10-01 21:39:53,TX-ZU368UUJ2G43
207,70,1,,29659.2,CARD,PAID,2025-07-28 05:57:55,TX-811NAE2DWBNU
208,1459,1,,15841.08,GATEWAY,PAID,2025-05-09 17:30:13,TX-FAXI1S9NPAXU
209,500,2,2,53905.5,CASH,PAID,2025-04-14 19:08:06,TX-XR8ZBM8PE4L9
210,361,1,,31692.0,CARD,PAID,2025-04-04 18:36:42,TX-ADKEL21AA6Y8
211,476,1,,17835.0,CARD,PAID,2025-03-21 20:20:10,TX-FHAK7TJ2GWD8
212,1400,2,1,80803.8,CASH,REFUNDED,2025-07-20 21:54:49,TX-4S764623AHW9
213,945,1,,15129.6,CARD,PAID,2025-02-19 16:52:44,TX-W53ZG1IGAE7U
214,1443,1,,20557.5,GATEWAY,PAID,2024-04-18 11:19:09,TX-LPBS1GYAPNRR
215,1430,1,,28342.8,GATEWAY,PAID,2024-07-22 18:42:13,TX-T9LZX8UBES81
216,1330,1,,62628.15,CARD,PAID,2024-02-01 10:10:09,TX-L8B7K0MHIHTF
217,274,1,,19866.75,GATEWAY,PAID,2025-05-12 14:35:04,TX-1ZY6N78JP289
218,1251,2,2,72554.62,CARD,PAID,2024-04-07 13:08:16,TX-GIU5DSJNCTFT
219,176,1,,39750.6,CARD,PAID,2024-07-07 01:57:47,TX-U18MD3SZXDF0
220,42,2,2,54450.0,CASH,PAID,2024-06-12 22:28:12,TX-4KBQ08F1IH6L
221,582,1,,14694.0,CARD,PAID,2025-09-21 07:23:58,TX-IDZYNING1FJ4
222,4,2,1,28459.2,CARD,PAID,2025-05-07 15:54:39,TX-GOAPADJXH3W6
223,569,2,2,26136.0,CARD,PAID,2024-08-31 18:00:53,TX-4FCM56J61UM0
224,157,2,1,27442.8,CASH,PAID,2024-12-24 04:04:43,TX-9W04PDTIIHE1
225,649,1,,50205.0,CARD,PAID,2025-03-23 13:07:04,TX-SYTMXBV9MDPO
226,1230,1,,41164.2,CARD,PAID,2025-08-07 12:56:58,TX-32II8K179YIX
227,197,1,,36483.6,CARD,PAID,2024-07-18 06:12:34,TX-7SRDV4EEHRDW
228,731,1,,43888.8,GATEWAY,PAID,2024-07-20 00:54:57,TX-O8PHNCK5QDAD
229,506,1,,43588.8,CARD,PAID,2025-03-30 04:05:29,TX-KUBXDHQCLJXC
230,751,2,2,16335.0,CARD,FAILED,,
231,485,1,,40104.0,GATEWAY,PAID,2024-12-30 13:56:27,TX-YX4B18B9QCL3
232,823,1,,58072.5,GATEWAY,PAID,2024-06-10 09:32:56,TX-PX6B4626S2QQ
233,680,1,,45892.56,GATEWAY,PAID,2025-02-22 13:34:52,TX-FRUXTNXJ8UWO
234,417,1,,19050.0,CARD,PAID,2024-11-22 07:54:06,TX-Z4JKA0J2NBI5
235,677,1,,29659.2,CARD,PAID,2025-05-30 23:24:47,TX-E47RHOW59Q7S
236,1327,2,2,26136.0,CASH,FAILED,,
237,593,2,1,29040.0,CASH,PAID,2025-01-06 23:17:21,TX-QF1ADFQ90QPH
238,606,2,1,43560.0,CASH,PAID,2024-11-17 18:03:35,TX-WRZQE54PFMIC
239,137,2,2,25613.28,CASH,PAID,2025-03-24 18:27:32,TX-9S9BHWO6L2MX
240,487,1,,63408.6,GATEWAY,PAID,2024-02-21 18:28:37,TX-XL0GF8E59JMZ
241,909,1,,48090.0,CARD,REFUNDED,2024-10-22 16:29:14,TX-9A8F8BOR2KEG
242,179,2,1,71874.0,CASH,PAID,2024-10-12 09:32:46,TX-QH1J5TAC9PFH
243,183,1,,46023.24,GATEWAY,FAILED,,
244,536,1,,19965.0,CARD,PAID,2025-06-10 18:40:04,TX-CUJ1U5XI18T1
245,1341,2,1,24829.2,CARD,PAID,2024-09-14 22:03:43,TX-9T0Z6M9ZMXZX
246,378,2,1,48823.5,CASH,REFUNDED,2025-05-09 14:51:09,TX-6831FEZ0MSG1
247,548,1,,74596.5,GATEWAY,FAILED,,
248,757,1,,19576.35,GATEWAY,PAID,2024-12-02 15:46:27,TX-HKUMCISYOXOM
249,522,2,4,13068.0,TRANSFER,PAID,2024-10-28 10:08:17,TX-RLOSALSUL8SN
250,1384,2,3,47916.0,CASH,PAID,2024-04-21 09:55:19,TX-NWGXV38PFITC
251,473,1,,52955.25,CARD,PAID,2024-09-24 10:33:48,TX-32B62346A4RY
252,1316,2,3,41382.0,CASH,PAID,2024-03-17 23:55:16,TX-PXPQUBPX8JRW
253,1356,2,1,53361.0,CASH,PAID,2024-03-02 20:29:06,TX-2XQZ21XG77FL
254,266,1,,56018.16,GATEWAY,REFUNDED,2025-04-26 05:25:30,TX-SMD7KL9INTUO
255,1359,2,2,25613.28,TRANSFER,PAID,2024-10-14 13:27:13,TX-YGMEXF9LO4ZZ
256,843,1,,18687.0,GATEWAY,PAID,2024-08-14 07:28:16,TX-5LZ2L2E9EU0G
257,599,1,,29659.2,GATEWAY,PAID,2024-10-01 23:52:27,TX-ATXAB0G3YVOL
258,1048,2,1,70059.0,CARD,PAID,2025-06-01 04:07:49,TX-5ZVOMXW3HB9E
259,319,1,,35385.0,CARD,PAID,2024-12-29 09:32:30,TX-YRH62E21TRBX
260,846,1,,32805.12,GATEWAY,REFUNDED,2025-09-07 02:28:53,TX-3JF46DE7KIOS
261,1491,1,,41130.0,CARD,PAID,2024-12-13 05:31:19,TX-XKQN8OY7GNJZ
262,79,1,,29040.0,CARD,PAID,2025-08-15 13:42:26,TX-2BYNCS5834BK
263,748,1,,43588.8,CARD,PAID,2024-11-20 18:38:35,TX-KVZBDGVVVVDK
264,537,1,,49905.0,CARD,PAID,2025-01-01 04:25:31,TX-SGWN0MODP9NU
265,303,2,2,69750.45,CARD,PAID,2025-08-20 09:26:01,TX-M6XK7OX4ROYL
266,1065,1,,64468.56,GATEWAY,PAID,2024-04-29 01:48:14,TX-10MEATDUX63R
267,606,1,,48325.95,GATEWAY,PAID,2025-05-08 08:36:52,TX-SWCAHKTWI9B8
268,553,1,,33870.0,CARD,PAID,2024-03-01 16:23:56,TX-RZNNWXSS3SVY
269,656,1,,13794.0,CARD,FAILED,,
270,786,1,,83617.05,CARD,FAILED,,
271,663,2,1,14229.6,CASH,PAID,2024-02-16 14:33:22,TX-LUUJ7KEX5DEV
272,833,1,,87448.8,CARD,REFUNDED,2024-02-13 23:19:32,TX-0EOARRWWS4FZ
273,844,1,,33144.0,GATEWAY,PAID,2024-10-27 11:34:38,TX-JNBZVFV991AC
274,720,1,,43588.8,CARD,PAID,2024-03-02 09:39:25,TX-ZV4TY9YKRZ1Y
275,169,2,1,77064.9,CARD,PAID,2024-09-28 09:34:23,TX-3G5SMQ5UFK8U
276,969,1,,27336.0,GATEWAY,PAID,2024-06-24 06:19:57,TX-217PFTPYBOR9
277,268,2,4,29040.0,CARD,PAID,2025-05-28 12:31:40,TX-3TFMS12WBAKE
278,122,2,1,50820.0,CARD,PAID,2024-10-14 21:28:37,TX-DWW8DXAJXMB5
279,617,1,,27636.0,GATEWAY,PAID,2025-03-06 09:56:56,TX-WLX04XSBY2OU
280,608,1,,54261.0,GATEWAY,FAILED,,
281,732,2,1,33033.0,CARD,PAID,2024-07-22 20:57:11,TX-DPUSQC38SEOO
282,211,1,,54101.28,CARD,PAID,2025-03-12 12:52:34,TX-NIFMPEOSO1F1
283,475,1,,24422.4,GATEWAY,PAID,2024-12-29 13:28:46,TX-41Q6L4JDGJ8Y
284,949,1,,16718.25,CARD,PAID,2025-07-23 08:39:50,TX-70LGRPZRXEP4
285,426,2,2,70785.0,CARD,PAID,2024-03-10 08:44:42,TX-5MN6SC6XSGAF
286,386,1,,19350.0,CARD,FAILED,,
287,500,1,,37074.0,CARD,PAID,2024-07-13 22:57:19,TX-4U41TQZ1VFUJ
288,677,2,1,51727.5,CASH,PAID,2025-06-18 01:51:10,TX-6ZHDQAIBHYHH
289,33,2,1,14229.6,CASH,PAID,2025-02-02 10:03:56,TX-5HTY6XNGDJ56
290,194,1,,90389.1,CARD,FAILED,,
291,78,1,,105354.3,GATEWAY,PAID,2024-11-05 00:56:09,TX-71M8ECKC546R
292,102,1,,56900.25,GATEWAY,PAID,2024-10-20 04:01:08,TX-9BYQ71UHA6F6
293,1072,2,4,32270.7,CARD,PAID,2025-04-30 13:38:07,TX-GUYG1JEV4IY4
294,754,1,,27036.0,CARD,PAID,2025-08-22 16:47:42,TX-0JPO94I4MWNA
