order_key,customer_key,channel_key,store_key,total_amount,order_date
1000000109,581,2,4.0,39930.0,2024-04-22 08:18:05
1000000110,1284,2,2.0,82364.7,2025-06-04 21:13:13
1000000111,1333,1,,19876.35,2024-12-20 15:47:41
1000000112,24,2,2.0,92891.7,2025-02-28 17:43:31
1000000113,1222,2,1.0,15652.56,2024-01-21 02:59:29
1000000114,63,2,1.0,11761.2,2024-09-17 08:06:28
1000000115,1078,1,,27636.0,2024-02-19 00:47:44
1000000116,1091,1,,49116.0,2024-07-01 10:24:47
1000000117,524,1,,30240.0,2025-01-19 22:11:52
1000000118,1229,1,,47857.68,2025-08-16 15:04:32
1000000119,458,2,4.0,17787.0,2025-07-16 11:54:38
1000000120,68,1,,14229.6,2024-04-18 21:41:14
1000000121,959,2,4.0,45520.2,2024-12-20 05:03:44
1000000122,356,2,1.0,43560.0,2025-08-30 14:57:49
1000000123,530,1,,18987.0,2025-06-24 08:51:53
1000000124,1420,1,,67367.64,2024-02-06 12:15:32
1000000125,279,2,3.0,62073.0,2024-07-09 08:16:06
1000000126,779,2,3.0,18150.0,2024-06-12 02:24:10
1000000127,1383,1,,69988.5,2024-02-28 13:19:21
1000000128,1189,1,,101470.2,2025-04-20 09:16:05
1000000129,1016,1,,76858.8,2025-09-17 22:24:46
1000000130,595,2,3.0,14701.5,2025-05-21 02:27:57
1000000131,902,2,4.0,47916.0,2024-01-25 03:24:41
1000000132,317,1,,33216.6,2024-07-26 17:23:51
1000000133,1229,2,2.0,18150.0,2024-06-14 15:46:34
1000000134,279,2,3.0,75358.8,2024-01-06 02:05:46
1000000135,1498,2,4.0,39930.0,2024-05-30 07:35:31
1000000136,140,1,,34485.0,2025-01-20 19:30:04
1000000137,1115,1,,14229.6,2024-11-15 23:46:06
1000000138,1240,1,,42882.0,2024-01-03 08:23:39
1000000139,590,1,,17535.0,2024-04-06 23:11:09
1000000140,645,2,3.0,16008.3,2025-02-17 21:56:48
1000000141,545,2,1.0,14374.8,2024-11-30 21:24:24
1000000142,1208,1,,62854.26,2025-06-25 13:32:09
1000000143,551,2,1.0,80586.0,2024-06-06 00:59:40
1000000144,569,2,1.0,35937.0,2024-02-09 12:30:14
1000000145,1305,1,,37800.0,2025-07-19 14:47:44
1000000146,280,1,,100951.88,2024-05-05 01:52:36
1000000147,1338,1,,72701.4,2024-12-07 21:23:08
1000000148,84,1,,43888.8,2025-06-21 18:11:01
1000000149,655,1,,17235.0,2025-01-21 22:14:19
1000000150,513,2,4.0,39131.4,2025-05-30 23:20:50
1000000151,884,2,3.0,42688.8,2024-04-16 17:06:04
1000000152,385,2,2.0,11761.2,2024-01-08 00:18:03
1000000153,723,2,2.0,13068.0,2025-06-10 16:56:57
1000000154,110,2,1.0,51455.25,2024-07-01 13:02:42
1000000155,1197,1,,15420.0,2024-02-12 00:38:46
1000000156,833,2,2.0,51727.5,2024-10-29 15:18:07
1000000157,371,2,3.0,71692.5,2025-01-26 15:50:11
1000000158,905,2,1.0,36300.0,2024-04-24 23:37:56
1000000159,389,1,,16141.08,2024-07-14 06:58:24
1000000160,1299,2,4.0,35574.0,2024-06-13 10:29:35
1000000161,725,1,,55350.0,2024-10-21 00:31:01
1000000162,645,2,4.0,27588.0,2025-07-31 20:20:03
1000000163,584,1,,27036.0,2024-02-24 10:30:38
1000000164,436,1,,77130.0,2025-02-22 06:18:41
1000000165,293,1,,29959.2,2025-08-27 08:06:56
1000000166,1065,1,,53744.25,2025-07-27 20:39:32
1000000167,1234,1,,58172.85,2025-01-18 13:44:54
1000000168,400,1,,50205.0,2024-02-26 20:28:31
1000000169,251,1,,14268.0,2024-07-08 20:03:47
1000000170,764,2,4.0,36300.0,2024-03-29 08:07:40
1000000171,1490,1,,15429.6,2025-02-27 13:25:36
1000000172,181,1,,28488.0,2024-05-07 09:39:45
1000000173,693,1,,39315.0,2025-06-16 15:40:09
1000000174,672,2,2.0,14229.6,2024-09-07 01:13:23
1000000175,786,1,,15420.0,2024-05-31 19:23:40
1000000176,1347,2,2.0,17968.5,2025-02-25 07:13:53
1000000177,628,1,,16718.25,2024-11-23 21:44:13
1000000178,1485,2,2.0,16335.0,2025-05-03 06:20:13
1000000179,805,1,,88746.0,2025-08-12 08:58:40
1000000180,445,1,,31692.0,2024-05-21 07:44:42
1000000181,560,1,,29359.2,2024-11-12 19:15:20
1000000182,403,1,,31546.8,2024-09-08 21:03:06
1000000183,693,2,1.0,32670.0,2024-10-26 15:02:26
1000000184,274,2,2.0,16335.0,2025-05-11 05:25:54
1000000185,804,1,,73611.24,2024-07-18 22:03:50
1000000186,1495,1,,14694.0,2024-07-30 17:31:33
1000000187,48,2,1.0,39204.0,2025-02-12 20:45:02
1000000188,661,2,3.0,32670.0,2025-08-23 17:59:12
1000000189,984,1,,45723.24,2024-05-02 13:34:34
1000000190,1384,1,,14229.6,2024-06-05 16:15:54
1000000191,788,1,,106896.24,2025-09-16 20:00:12
1000000192,456,2,2.0,14520.0,2024-03-08 16:48:50
1000000193,427,1,,40404.0,2024-02-15 04:24:55
1000000194,866,1,,54450.0,2025-09-13 14:18:48
1000000195,371,1,,56666.4,2025-02-28 05:52:06
1000000196,1000,1,,37500.0,2025-08-14 22:25:58
1000000197,1404,1,,14268.0,2024-04-09 00:49:19
1000000198,1159,1,,36183.6,2024-02-03 12:21:07
1000000199,1040,1,,59280.0,2025-03-19 13:29:11
1000000200,464,1,,27036.0,2024-09-25 16:00:56
1000000201,166,1,,50749.5,2024-11-16 21:49:12
1000000202,1056,2,3.0,43560.0,2025-03-27 16:10:42
1000000203,925,2,3.0,39204.0,2024-11-17 23:47:20
1000000204,488,1,,50205.0,2025-01-27 12:03:58
1000000205,903,1,,17787.0,2024-09-30 10:39:53
1000000206,70,1,,29659.2,2025-07-26 06:57:55
1000000207,1459,1,,15841.08,2025-05-07 08:30:13
1000000208,500,2,2.0,53905.5,2025-04-11 20:08:06
1000000209,361,1,,31692.0,2025-04-03 02:36:42
1000000210,476,1,,17835.0,2025-03-20 15:20:10
1000000211,1400,2,1.0,80803.8,2025-07-19 23:54:49
1000000212,945,1,,15129.6,2025-02-18 13:52:44
1000000213,1443,1,,20557.5,2024-04-16 02:19:09
1000000214,1430,1,,28342.8,2024-07-19 23:42:13
1000000215,1330,1,,62628.15,2024-01-29 19:10:09
1000000216,274,1,,19866.75,2025-05-10 12:35:04
1000000217,1251,2,2.0,72554.62,2024-04-05 10:08:16
1000000218,176,1,,39750.6,2024-07-04 15:57:47
1000000219,42,2,2.0,54450.0,2024-06-12 19:28:12
1000000220,582,1,,14694.0,2025-09-21 02:23:58
1000000221,4,2,1.0,28459.2,2025-05-07 07:54:39
1000000222,569,2,2.0,26136.0,2024-08-30 13:00:53
1000000223,157,2,1.0,27442.8,2024-12-24 00:04:43
1000000224,649,1,,50205.0,2025-03-22 13:07:04
1000000225,1230,1,,41164.2,2025-08-05 09:56:58
1000000226,197,1,,36483.6,2024-07-16 19:12:34
1000000227,731,1,,43888.8,2024-07-17 23:54:57
1000000228,506,1,,43588.8,2025-03-27 04:05:29
1000000229,751,2,2.0,16335.0,2025-04-10 13:54:59
1000000230,485,1,,40104.0,2024-12-29 11:56:27
1000000231,823,1,,58072.5,2024-06-08 16:32:56
1000000232,680,1,,45892.56,2025-02-21 21:34:52
1000000233,417,1,,19050.0,2024-11-19 08:54:06
1000000234,677,1,,29659.2,2025-05-28 23:24:47
1000000235,1327,2,2.0,26136.0,2024-10-02 10:20:21
1000000236,593,2,1.0,29040.0,2025-01-04 07:17:21
1000000237,606,2,1.0,43560.0,2024-11-14 19:03:35
1000000238,137,2,2.0,25613.28,2025-03-22 06:27:32
1000000239,487,1,,63408.6,2024-02-20 05:28:37
1000000240,909,1,,48090.0,2024-10-20 17:29:14
1000000241,179,2,1.0,71874.0,2024-10-11 10:32:46
1000000242,183,1,,46023.24,2025-08-15 20:50:08
1000000243,536,1,,19965.0,2025-06-08 09:40:04
1000000244,1341,2,1.0,24829.2,2024-09-13 02:03:43
1000000245,378,2,1.0,48823.5,2025-05-08 00:51:09
1000000246,548,1,,74596.5,2025-09-27 13:13:06
1000000247,757,1,,19576.35,2024-12-02 02:46:27
1000000248,522,2,4.0,13068.0,2024-10-26 11:08:17
1000000249,1384,2,3.0,47916.0,2024-04-19 07:55:19
1000000250,473,1,,52955.25,2024-09-21 10:33:48
1000000251,1316,2,3.0,41382.0,2024-03-15 03:55:16
1000000252,1356,2,1.0,53361.0,2024-03-02 17:29:06
1000000253,266,1,,56018.16,2025-04-23 10:25:30
1000000254,1359,2,2.0,25613.28,2024-10-13 05:27:13
1000000255,843,1,,18687.0,2024-08-13 02:28:16
1000000256,599,1,,29659.2,2024-10-01 05:52:27
1000000257,1048,2,1.0,70059.0,2025-05-30 14:07:49
1000000258,319,1,,35385.0,2024-12-26 23:32:30
1000000259,846,1,,32805.12,2025-09-04 10:28:53
1000000260,1491,1,,41130.0,2024-12-12 00:31:19
1000000261,79,1,,29040.0,2025-08-14 21:42:26
1000000262,748,1,,43588.8,2024-11-18 19:38:35
1000000263,537,1,,49905.0,2024-12-31 19:25:31
1000000264,303,2,2.0,69750.45,2025-08-19 08:26:01
1000000265,1065,1,,64468.56,2024-04-27 04:48:14
1000000266,606,1,,48325.95,2025-05-07 10:36:52
1000000267,553,1,,33870.0,2024-02-29 01:23:56
1000000268,656,1,,13794.0,2025-03-14 10:48:01
1000000269,786,1,,83617.05,2024-10-13 18:12:43
1000000270,663,2,1.0,14229.6,2024-02-16 09:33:22
1000000271,833,1,,87448.8,2024-02-12 23:19:32
1000000272,844,1,,33144.0,2024-10-25 21:34:38
1000000273,720,1,,43588.8,2024-03-01 21:39:25
1000000274,169,2,1.0,77064.9,2024-09-28 05:34:23
1000000275,969,1,,27336.0,2024-06-21 23:19:57
1000000276,268,2,4.0,29040.0,2025-05-26 19:31:40
1000000277,122,2,1.0,50820.0,2024-10-14 06:28:37
1000000278,617,1,,27636.0,2025-03-04 17:56:56
1000000279,608,1,,54261.0,2025-08-15 18:39:20
1000000280,732,2,1.0,33033.0,2024-07-20 19:57:11
1000000281,211,1,,54101.28,2025-03-11 16:52:34
1000000282,475,1,,24422.4,2024-12-28 03:28:46
1000000283,949,1,,16718.25,2025-07-21 05:39:50
1000000284,426,2,2.0,70785.0,2024-03-09 13:44:42
1000000285,386,1,,19350.0,2024-10-30 22:12:14
1000000286,500,1,,37074.0,2024-07-11 04:57:19
1000000287,677,2,1.0,51727.5,2025-06-17 09:51:10
1000000288,33,2,1.0,14229.6,2025-02-01 18:03:56
1000000289,194,1,,90389.1,2025-02-26 16:12:11
1000000290,78,1,,105354.3,2024-11-04 11:56:09
1000000291,102,1,,56900.25,2024-10-17 15:01:08
1000000292,1072,2,4.0,32270.7,2025-04-29 10:38:07
1000000293,754,1,,27036.0,2025-08-21 17:47:42
1000000294,195,1,,44460.0,2024-04-22 11:27:50
1000000295,862,2,4.0,24829.2,2025-03-27 00:46:52
1000000296,240,2,2.0,18150.0,2024-06-28 12:04:05
1000000297,682,2,1.0,53361.0,2025-08-11 01:05:27
1000000298,849,2,1.0,41382.0,2024-11-04 05:51:55
1000000299,807,2,3.0,43560.0,2024-05-06 18:32:30
1000000300,901,1,,54633.6,2024-11-19 11:32:25
1000000301,61,1,,29040.0,2024-05-06 02:06:15
1000000302,1082,1,,69507.0,2025-08-07 18:57:52
1000000303,1286,2,3.0,39204.0,2024-03-16 23:03:26
1000000304,1416,1,,119873.77,2024-03-15 15:57:51
1000000305,979,1,,31692.0,2025-04-13 08:23:31
1000000306,800,1,,83671.5,2024-04-29 02:04:28
1000000307,800,1,,17835.0,2024-09-12 19:02:18
1000000308,757,1,,17835.0,2024-03-27 22:35:18
1000000309,1194,2,1.0,45738.0,2024-04-09 03:44:55
1000000310,673,1,,27636.0,2025-01-04 06:32:45
1000000311,1266,2,2.0,36209.25,2025-01-07 14:43:16
1000000312,7,2,2.0,36209.25,2025-02-23 16:09:03
1000000313,1040,2,3.0,71692.5,2025-05-19 21:05:53
1000000314,873,1,,33579.6,2024-10-15 05:46:27
1000000315,1336,1,,54351.75,2025-05-05 03:09:01
1000000316,708,2,1.0,71601.75,2025-04-27 15:42:15
1000000317,380,1,,37437.0,2024-08-16 16:27:24
1000000318,634,2,4.0,15246.0,2024-10-06 02:46:46
1000000319,578,1,,15429.6,2024-04-20 06:29:45
1000000320,1479,1,,36592.5,2025-08-18 03:45:44
1000000321,1399,1,,94491.0,2025-08-02 08:12:50
1000000322,522,2,4.0,37243.8,2024-11-20 17:14:29
1000000323,247,2,1.0,54711.36,2025-04-01 23:13:07
1000000324,96,2,4.0,69812.16,2025-01-11 15:52:32
1000000325,798,2,2.0,28749.6,2024-10-14 13:04:08
1000000326,21,1,,84070.8,2024-06-16 15:06:25
1000000327,1236,1,,31082.16,2025-01-09 08:07:28
1000000328,130,1,,82239.75,2025-02-10 21:56:23
1000000329,169,1,,44324.4,2024-03-15 11:29:09
1000000330,973,2,2.0,29040.0,2024-12-14 09:37:58
1000000331,1449,1,,68581.35,2024-12-24 08:30:16
1000000332,210,1,,62547.0,2025-09-17 18:50:29
1000000333,737,1,,16552.56,2024-12-16 07:27:44
1000000334,1350,1,,71341.2,2025-05-07 03:30:02
1000000335,170,1,,73691.1,2024-02-10 20:22:45
1000000336,217,1,,47964.0,2024-07-19 06:43:12
1000000337,254,1,,17835.0,2024-09-12 01:56:03
1000000338,1400,1,,47146.2,2024-03-22 09:06:07
1000000339,1213,1,,54561.0,2025-05-08 06:56:58
1000000340,1410,1,,14268.0,2024-08-05 18:48:50
1000000341,128,2,2.0,30492.0,2024-12-21 11:45:16
1000000342,499,1,,18142.5,2024-10-06 10:08:07
1000000343,494,1,,27989.4,2024-08-11 01:43:35
1000000344,755,1,,41430.0,2024-07-23 04:32:16
1000000345,518,1,,41164.2,2024-05-01 22:42:44
1000000346,1171,2,4.0,41382.0,2025-03-12 07:52:46
1000000347,1261,1,,54261.0,2024-08-18 17:55:12
1000000348,468,2,4.0,12414.6,2024-11-15 02:49:32
1000000349,503,1,,44760.0,2024-08-29 01:03:26
1000000350,1073,2,3.0,42688.8,2024-03-18 02:37:52
1000000351,997,2,1.0,32670.0,2024-05-03 23:42:15
1000000352,435,1,,35203.5,2025-02-16 13:46:26
1000000353,1401,2,4.0,41382.0,2025-05-08 12:58:38
1000000354,202,1,,17172.0,2025-05-09 11:09:10
1000000355,920,1,,50205.0,2024-12-09 11:32:22
1000000356,1101,1,,53361.0,2025-06-05 02:50:54
1000000357,305,1,,14229.6,2024-02-29 22:09:52
1000000358,268,1,,34485.0,2025-07-08 15:28:42
1000000359,636,2,3.0,35574.0,2024-07-09 10:50:51
1000000360,736,2,4.0,62871.6,2024-09-23 16:43:39
1000000361,938,1,,72783.6,2025-01-19 11:36:36
1000000362,356,1,,43560.0,2024-08-14 11:12:23
1000000363,544,1,,13794.0,2024-06-07 21:33:38
1000000364,952,2,2.0,29882.16,2025-08-18 21:55:14
1000000365,1016,1,,81486.0,2025-08-20 07:05:53
1000000366,1183,1,,57529.05,2025-07-15 23:00:00
1000000367,1154,1,,33570.0,2025-04-19 10:14:53
1000000368,1056,1,,27336.0,2024-11-02 23:28:33
1000000369,666,2,1.0,39204.0,2024-12-11 05:34:37
1000000370,1010,2,2.0,36209.25,2025-08-18 16:20:56
1000000371,977,1,,37500.0,2024-01-15 17:05:29
1000000372,172,1,,15383.7,2024-08-21 16:26:48
1000000373,1179,1,,16146.0,2024-02-18 11:24:48
1000000374,1048,2,2.0,53361.0,2025-04-14 23:37:30
1000000375,480,1,,18051.75,2025-06-24 14:50:30
1000000376,164,2,2.0,51727.5,2024-12-15 01:03:23
1000000377,902,2,1.0,36300.0,2024-08-02 04:41:33
1000000378,1096,1,,49224.9,2025-09-05 07:19:50
1000000379,1208,1,,13968.0,2025-06-15 09:45:42
1000000380,538,2,2.0,68534.4,2024-06-13 20:39:36
1000000381,695,1,,80779.2,2025-05-18 06:44:05
1000000382,766,1,,37800.0,2024-06-21 23:15:32
1000000383,295,2,2.0,51455.25,2024-11-20 17:17:56
1000000384,864,1,,42688.8,2025-06-08 18:56:06
1000000385,314,2,2.0,91294.5,2024-05-11 06:59:21
1000000386,299,2,1.0,17242.5,2024-10-23 00:50:57
1000000387,786,1,,44760.0,2025-03-27 11:40:03
1000000388,356,1,,53835.0,2024-06-03 02:31:09
1000000389,792,1,,12414.6,2024-05-03 21:05:32
1000000390,88,1,,19957.5,2024-03-16 05:40:23
1000000391,1426,1,,17235.0,2024-02-07 17:19:39
1000000392,1,2,2.0,35574.0,2024-08-15 21:40:43
1000000393,803,2,3.0,14229.6,2024-03-20 04:53:22
1000000394,589,1,,47454.75,2025-07-31 00:27:59
1000000395,1238,2,3.0,44823.24,2024-06-01 10:54:27
1000000396,293,1,,58045.8,2024-08-14 09:23:50
1000000397,882,1,,15420.0,2025-07-05 06:59:31
1000000398,913,1,,80188.8,2024-03-29 05:52:21
1000000399,960,2,2.0,57354.0,2024-10-03 15:43:00
1000000400,1084,2,1.0,15246.0,2025-03-13 03:19:03
1000000401,1411,2,2.0,49005.0,2025-06-24 15:21:47
1000000402,889,1,,44324.4,2024-12-19 02:19:07
1000000403,814,1,,55650.0,2024-12-14 05:29:57
1000000404,293,1,,46076.4,2025-03-12 03:49:21
1000000405,1121,1,,80198.4,2024-08-19 15:05:48
1000000406,696,2,1.0,51727.5,2024-08-25 07:28:12
1000000407,331,1,,31036.5,2025-06-26 15:49:31
1000000408,106,1,,38252.7,2024-11-12 23:19:51
1000000409,918,2,2.0,39204.0,2025-09-03 09:29:14
1000000410,305,1,,42688.8,2025-07-20 07:48:11
1000000411,381,1,,47754.75,2024-11-08 18:46:04
1000000412,176,2,3.0,28459.2,2024-11-19 11:51:26
1000000413,1269,2,2.0,29040.0,2024-05-27 15:53:24
1000000414,128,1,,48634.5,2025-05-12 10:30:45
1000000415,424,2,2.0,17787.0,2025-04-30 04:14:09
1000000416,7,2,4.0,39131.4,2025-06-04 02:57:45
1000000417,105,2,3.0,31944.0,2024-03-30 22:37:37
1000000418,1415,1,,47364.0,2024-06-27 18:10:46
1000000419,283,1,,79436.1,2024-03-22 18:53:53
1000000420,1430,2,2.0,13794.0,2024-12-09 08:36:14
1000000421,673,1,,40404.0,2024-08-31 14:04:20
1000000422,1419,1,,68055.0,2025-02-22 19:59:29
1000000423,39,2,1.0,28459.2,2025-06-09 00:53:32
1000000424,189,1,,15429.6,2024-07-09 03:55:21
1000000425,526,2,2.0,12806.64,2025-09-26 16:19:43
1000000426,790,1,,43560.0,2024-07-10 03:32:53
1000000427,464,1,,43160.7,2024-07-06 14:03:01
1000000428,262,1,,36474.0,2024-02-19 08:36:50
1000000429,1051,2,1.0,71220.6,2025-04-12 13:57:39
1000000430,582,1,,46638.0,2025-01-28 15:07:57
1000000431,3,1,,42664.2,2025-09-06 03:13:28
1000000432,678,1,,47020.2,2024-01-20 12:03:01
1000000433,369,1,,14268.0,2025-01-09 14:39:57
1000000434,71,1,,30540.0,2024-04-12 15:35:44
1000000435,1251,1,,72193.2,2024-05-19 15:46:28
1000000436,143,2,4.0,43560.0,2024-08-17 07:02:29
1000000437,126,1,,51727.5,2024-11-01 14:32:14
1000000438,945,2,4.0,58697.1,2025-05-03 02:49:15
1000000439,592,1,,27588.0,2024-01-04 11:07:12
1000000440,462,2,2.0,73616.4,2024-10-28 14:14:44
1000000441,274,1,,46323.24,2024-03-18 14:42:42
1000000442,703,2,3.0,53361.0,2024-05-24 06:17:42
1000000443,723,2,1.0,120969.75,2025-04-22 17:04:39
1000000444,310,1,,44324.4,2025-01-16 14:39:25
1000000445,410,2,2.0,29040.0,2024-07-23 07:46:04
1000000446,495,1,,43888.8,2024-08-13 10:17:13
1000000447,457,1,,43588.8,2024-11-08 13:47:03
1000000448,852,2,1.0,13794.0,2025-01-11 11:23:27
1000000449,793,1,,69516.6,2024-04-02 04:40:15
1000000450,789,1,,20257.5,2024-09-06 20:44:17
1000000451,1075,2,4.0,34485.0,2024-04-10 13:58:16
1000000452,814,1,,54313.88,2025-02-28 05:03:37
1000000453,1270,1,,15129.6,2024-04-14 03:38:14
1000000454,442,1,,40104.0,2025-05-23 14:15:23
1000000455,1109,1,,102694.8,2024-07-23 11:30:23
1000000456,1107,2,4.0,81783.9,2024-09-26 04:59:36
1000000457,1229,1,,16418.25,2025-09-27 07:42:51
1000000458,498,1,,48097.5,2024-10-27 01:52:38
1000000459,738,1,,28749.6,2024-12-15 00:00:47
1000000460,1412,1,,18676.35,2024-04-01 20:37:23
1000000461,1462,1,,27989.4,2024-03-24 20:13:56
1000000462,167,1,,55650.0,2024-05-26 20:10:54
1000000463,1066,1,,13968.0,2025-08-29 20:20:17
1000000464,1075,2,1.0,44823.24,2024-04-10 17:59:36
1000000465,1393,1,,120334.5,2024-08-05 08:30:07
1000000466,181,1,,67447.5,2025-07-14 20:07:18
1000000467,746,2,2.0,39204.0,2025-01-02 14:24:27
1000000468,1188,1,,47020.2,2024-10-29 13:42:38
1000000469,803,1,,48924.9,2025-06-11 17:04:37
1000000470,316,2,2.0,17787.0,2024-02-08 09:06:15
1000000471,56,2,1.0,41382.0,2024-01-12 17:02:05
1000000472,1427,1,,15841.08,2025-07-26 01:37:30
1000000473,1172,1,,40104.0,2025-02-27 11:28:55
