order_item_key,order_key,product_key,quantity,unit_price
97,69,2,1,15750.0
98,69,1,2,12000.0
99,69,2,3,15000.0
100,70,2,3,15000.0
101,71,1,1,12000.0
102,72,1,1,12000.0
103,73,2,1,13500.0
104,74,2,1,15750.0
105,75,1,2,12600.0
106,75,1,3,12000.0
107,76,2,2,15000.0
108,77,1,2,12000.0
109,78,1,2,12000.0
110,79,2,1,15000.0
111,79,1,2,13200.0
112,80,1,1,10800.0
113,80,1,2,12000.0
114,81,2,1,15000.0
115,82,1,2,12000.0
116,82,2,2,15000.0
117,83,1,3,12000.0
118,84,2,1,16500.0
119,84,1,2,12000.0
120,85,2,1,15000.0
121,86,1,1,12600.0
122,87,1,1,12000.0
123,88,1,1,12000.0
124,89,2,2,15000.0
125,89,2,2,15000.0
126,90,2,1,15000.0
127,91,1,2,12000.0
128,91,2,1,13500.0
129,92,2,3,15750.0
130,92,2,3,15750.0
131,93,2,2,15000.0
132,94,2,3,15000.0
133,94,1,2,12000.0
134,94,2,1,16500.0
135,95,1,3,12000.0
136,95,2,3,13500.0
137,96,2,3,16500.0
138,97,1,3,12000.0
139,98,2,1,15750.0
140,99,1,3,12600.0
141,100,1,1,12000.0
142,101,1,1,10800.0
143,101,1,1,12600.0
144,102,1,3,12000.0
145,103,1,3,12000.0
146,104,1,3,10800.0
147,105,2,2,15000.0
148,106,1,2,12000.0
149,107,2,1,15000.0
150,108,1,3,12600.0
151,109,2,3,15750.0
152,110,1,2,12000.0
153,110,1,1,12000.0
154,111,1,2,12000.0
155,111,2,3,16500.0
156,112,2,1,15750.0
157,113,1,3,12600.0
158,113,2,3,15000.0
159,114,1,1,13200.0
160,115,1,1,10800.0
161,116,1,2,12000.0
162,117,1,3,13200.0
163,118,1,2,12000.0
164,119,1,3,13200.0
165,120,2,1,15000.0
166,121,1,1,12000.0
167,122,1,3,13200.0
168,123,1,3,12000.0
169,124,2,1,15000.0
170,125,1,1,10800.0
171,125,2,3,15000.0
172,126,2,3,15000.0
173,126,1,1,12000.0
174,127,2,1,15000.0
175,128,2,2,15000.0
176,128,2,2,15750.0
177,129,1,1,10800.0
178,129,2,3,15000.0
179,129,1,3,12000.0
180,130,1,3,12000.0
181,130,2,2,15000.0
182,131,2,1,13500.0
183,132,1,3,13200.0
184,133,2,2,13500.0
185,134,2,1,15000.0
186,135,1,3,12000.0
187,135,2,2,15000.0
188,136,1,1,12000.0
189,136,1,2,10800.0
190,137,2,2,15000.0
191,138,1,1,12000.0
192,139,1,3,12000.0
193,140,2,1,15000.0
194,141,2,1,13500.0
195,142,1,1,13200.0
196,143,2,1,15000.0
197,143,1,1,13200.0
198,143,1,2,12000.0
199,144,1,3,12000.0
200,144,1,3,12000.0
201,145,2,2,16500.0
202,146,2,2,15000.0
203,147,2,3,15750.0
204,147,1,3,12600.0
205,148,2,2,16500.0
206,148,2,2,15000.0
207,149,1,3,12000.0
208,150,2,1,15000.0
209,151,2,2,16500.0
210,152,1,3,12000.0
211,153,1,1,10800.0
212,154,1,1,12000.0
213,155,2,3,15750.0
214,156,1,1,12000.0
215,157,2,3,15000.0
216,158,1,1,12000.0
217,158,2,3,15750.0
218,159,2,2,15000.0
219,160,1,1,12600.0
220,161,2,2,15000.0
221,162,2,3,15000.0
222,163,1,2,12000.0
223,164,1,2,10800.0
224,165,1,3,12000.0
225,165,2,2,15000.0
226,166,1,2,12000.0
227,167,2,1,15000.0
228,167,2,2,15750.0
229,168,2,1,13500.0
230,168,1,1,10800.0
231,168,1,2,12000.0
232,169,2,3,13500.0
233,170,1,1,12000.0
234,171,2,2,15000.0
235,172,1,1,12000.0
236,173,1,2,12000.0
237,174,2,2,15750.0
238,175,1,1,12000.0
239,176,1,1,12000.0
240,177,2,1,16500.0
241,178,2,1,13500.0
242,179,2,1,15000.0
243,180,2,3,15000.0
244,180,2,2,15000.0
245,181,1,2,12600.0
246,182,1,2,12000.0
247,183,1,2,13200.0
248,184,2,2,13500.0
249,185,2,1,15000.0
250,186,1,3,12600.0
251,186,1,2,12000.0
252,187,1,1,12000.0
253,188,1,3,12000.0
254,189,2,2,15000.0
255,190,1,3,12600.0
256,191,1,1,12000.0
257,192,2,3,15000.0
258,192,1,1,12000.0
259,192,1,3,12600.0
260,193,1,1,12000.0
261,194,1,3,12000.0
262,195,1,1,12000.0
263,195,1,3,12000.0
264,196,2,1,15000.0
265,196,2,2,16500.0
266,197,2,2,15000.0
267,198,1,1,12000.0
268,199,1,3,10800.0
269,200,1,2,13200.0
270,200,1,2,12000.0
271,201,1,1,12000.0
272,201,1,1,12000.0
273,202,1,1,12600.0
274,202,2,2,15750.0
275,203,1,3,12000.0
276,204,1,3,12000.0
277,205,2,1,15000.0
278,205,2,2,15000.0
279,206,2,1,15000.0
280,207,1,2,12000.0
281,208,1,1,12600.0
282,209,2,3,16500.0
283,210,1,2,12600.0
284,211,2,1,15000.0
285,212,1,3,12000.0
286,212,2,2,15750.0
287,213,1,1,12000.0
288,214,2,1,15750.0
289,215,1,2,12600.0
290,216,2,3,13500.0
291,216,1,1,13200.0
292,217,2,1,16500.0
293,218,2,1,15750.0
294,218,2,3,15000.0
295,219,1,1,10800.0
296,219,1,2,12000.0
297,220,1,1,12000.0
298,220,1,3,12000.0
299,221,1,1,12000.0
300,222,1,2,12000.0
301,223,1,2,12000.0
302,224,1,2,12600.0
303,225,2,3,15000.0
304,226,1,3,12600.0
305,227,1,3,10800.0
306,228,1,3,12000.0
307,229,1,3,12000.0
308,230,2,1,15000.0
309,231,1,3,12000.0
310,232,2,3,15750.0
311,233,1,1,13200.0
312,233,1,2,12000.0
313,234,2,1,15000.0
314,235,1,2,12000.0
315,236,1,2,12000.0
316,237,1,1,12000.0
317,237,1,1,12000.0
318,238,1,3,12000.0
319,239,1,2,10800.0
320,240,1,1,12600.0
321,240,2,3,13500.0
322,241,2,2,15000.0
323,241,1,1,12000.0
324,242,2,2,15000.0
325,242,1,3,12000.0
326,243,1,3,12600.0
327,244,2,1,16500.0
328,245,1,2,10800.0
329,246,2,1,15000.0
330,246,2,2,13500.0
331,247,1,3,12000.0
332,247,2,2,13500.0
333,248,2,1,15750.0
334,249,1,1,12000.0
335,250,1,3,13200.0
336,251,2,3,15750.0
337,252,1,3,12000.0
338,253,2,3,15000.0
339,254,1,2,12600.0
340,254,1,2,12000.0
341,255,1,2,10800.0
342,256,2,1,15000.0
343,257,1,2,12000.0
344,258,2,2,15000.0
345,258,2,2,15000.0
346,259,2,2,15000.0
347,260,1,2,13200.0
348,261,2,2,16500.0
349,262,1,2,12000.0
350,263,1,3,12000.0
351,264,2,3,15000.0
352,265,1,1,12600.0
353,265,2,3,15750.0
354,266,1,3,13200.0
355,266,1,1,13200.0
356,267,1,2,12000.0
357,267,2,1,16500.0
358,268,2,2,15000.0
359,269,1,1,12000.0
360,270,2,3,15750.0
361,270,1,2,12000.0
362,271,1,1,12000.0
363,272,1,3,12000.0
364,272,1,3,12000.0
365,273,1,2,13200.0
366,274,1,3,12000.0
367,275,1,2,12000.0
368,275,2,3,13500.0
369,276,1,1,12000.0
370,276,1,1,12000.0
371,277,1,2,12000.0
372,278,2,2,15000.0
373,278,1,1,12000.0
374,279,1,2,10800.0
375,280,2,3,15000.0
376,281,2,1,15000.0
377,281,1,1,12600.0
378,282,1,2,12000.0
379,282,1,2,10800.0
380,283,1,2,10800.0
381,284,2,1,13500.0
382,285,2,2,15000.0
383,285,2,2,15000.0
384,286,2,1,15000.0
385,287,2,2,15000.0
386,288,2,3,15000.0
387,289,1,1,12000.0
388,290,2,3,15750.0
389,290,2,2,13500.0
390,291,1,1,12000.0
391,291,2,3,13500.0
392,291,1,3,13200.0
393,292,2,3,16500.0
394,293,2,1,15000.0
395,293,1,1,12600.0
396,294,1,2,12000.0
397,295,1,3,12000.0
398,296,1,2,10800.0
399,297,2,1,15000.0
400,298,2,3,15000.0
401,299,1,3,12000.0
402,300,1,3,12000.0
403,301,1,3,12000.0
404,301,1,1,12000.0
405,302,1,2,12000.0
406,303,2,2,13500.0
407,303,2,2,16500.0
408,304,1,3,12000.0
409,305,2,1,15000.0
410,305,2,3,15750.0
411,305,2,3,13500.0
412,306,1,2,12600.0
413,307,2,3,15000.0
414,307,1,2,13200.0
415,308,2,1,15000.0
416,309,2,1,15000.0
417,310,1,3,12600.0
418,311,1,2,12000.0
419,312,2,2,15750.0
420,313,2,2,15750.0
421,314,2,3,15000.0
422,314,2,1,15000.0
423,315,2,1,15000.0
424,315,1,1,12000.0
425,316,2,1,15750.0
426,316,2,2,15000.0
427,317,2,1,15750.0
428,317,2,3,15000.0
429,318,2,2,16500.0
430,319,1,1,12600.0
431,320,1,1,12000.0
432,321,2,1,15000.0
433,321,2,1,15000.0
434,322,2,3,15000.0
435,322,2,2,16500.0
436,323,1,3,10800.0
437,324,1,2,10800.0
438,324,1,2,12600.0
439,325,2,2,16500.0
440,325,1,2,12600.0
441,326,1,2,13200.0
442,327,1,3,12000.0
443,327,1,3,12000.0
444,328,1,2,12600.0
445,329,2,3,13500.0
446,329,2,2,15000.0
447,330,1,3,13200.0
448,331,1,2,12000.0
449,332,2,3,15000.0
450,332,2,1,15750.0
451,333,1,3,12000.0
452,333,2,1,15000.0
453,334,1,1,13200.0
454,335,1,2,12000.0
455,335,1,3,12000.0
456,336,2,3,16500.0
457,336,1,1,12000.0
458,337,1,1,12000.0
459,337,1,2,13200.0
460,338,2,1,15000.0
461,339,2,2,13500.0
462,339,1,1,12000.0
463,340,2,3,15000.0
464,341,1,1,12000.0
465,342,1,2,12600.0
466,343,2,1,15000.0
467,344,1,1,12600.0
468,344,1,1,12000.0
469,345,2,2,16500.0
470,346,1,3,12600.0
471,347,1,3,12000.0
472,348,2,3,15000.0
473,349,1,1,10800.0
474,350,1,3,12000.0
475,351,1,3,12000.0
476,352,2,2,15000.0
477,353,2,2,15750.0
478,354,1,3,12000.0
479,355,1,1,13200.0
480,356,2,3,15000.0
481,357,2,3,15000.0
482,358,1,1,12000.0
483,359,2,2,15000.0
484,360,2,2,15000.0
485,361,1,2,12000.0
486,361,1,3,10800.0
487,362,1,3,13200.0
488,362,1,2,12000.0
489,363,1,3,12000.0
490,364,1,1,12000.0
491,365,1,2,12600.0
492,366,1,3,12000.0
493,366,1,3,12000.0
494,367,2,3,15750.0
495,368,2,2,13500.0
496,369,1,2,12000.0
497,370,1,3,12000.0
498,371,2,2,15750.0
499,372,2,2,15000.0
500,373,1,1,12600.0
501,374,1,1,12600.0
502,375,2,3,15000.0
503,376,2,1,15750.0
504,377,2,3,15000.0
505,378,2,2,15000.0
506,379,2,3,13500.0
507,380,1,1,10800.0
508,381,2,2,16500.0
509,381,2,2,13500.0
510,382,2,2,15750.0
511,382,1,3,12600.0
512,383,2,2,15000.0
513,384,2,2,16500.0
514,384,2,1,13500.0
515,385,1,3,12000.0
516,386,2,2,15750.0
517,386,2,1,15000.0
518,386,1,3,10800.0
519,387,2,1,15000.0
520,388,1,3,12000.0
521,389,2,2,15000.0
522,389,2,1,15000.0
523,390,1,1,10800.0
524,391,2,1,15750.0
525,392,2,1,15000.0
526,393,2,2,15000.0
527,394,1,1,12000.0
528,395,2,3,13500.0
529,396,1,3,12600.0
530,397,1,3,13200.0
531,397,1,1,12600.0
532,398,1,1,12000.0
533,399,2,2,15000.0
534,399,1,3,12000.0
535,400,2,1,15000.0
536,400,1,3,12000.0
537,401,1,1,12600.0
538,402,2,3,13500.0
539,403,1,3,13200.0
540,404,2,3,15000.0
541,405,1,2,13200.0
542,405,1,1,12000.0
543,406,2,2,15000.0
544,406,1,3,13200.0
545,407,2,3,15000.0
546,408,1,1,12000.0
547,408,2,1,15000.0
548,409,2,2,15750.0
549,410,1,3,12000.0
550,411,1,3,12000.0
551,412,2,3,13500.0
552,413,1,2,12000.0
553,414,1,2,12000.0
554,415,1,2,12600.0
555,415,2,1,15000.0
556,416,2,1,15000.0
557,417,2,2,16500.0
558,418,1,2,13200.0
559,419,2,2,15000.0
560,419,1,1,12000.0
561,420,2,2,15000.0
562,420,1,3,12600.0
563,421,1,1,12000.0
564,422,1,3,12000.0
565,423,2,2,15000.0
566,423,2,2,15000.0
567,424,1,2,12000.0
568,425,1,1,12000.0
569,426,1,1,10800.0
570,427,1,3,12000.0
571,428,2,1,13500.0
572,428,1,2,12000.0
573,429,2,2,15000.0
574,430,1,3,10800.0
575,430,2,2,16500.0
576,431,1,3,12600.0
577,432,1,3,12600.0
578,433,1,3,13200.0
579,434,1,1,10800.0
580,435,1,2,12000.0
581,436,2,3,15000.0
582,436,2,1,16500.0
583,437,1,3,12000.0
584,438,2,3,15000.0
585,439,2,3,16500.0
586,440,1,2,12000.0
587,441,1,1,12600.0
588,441,2,3,16500.0
589,442,1,3,12600.0
590,443,2,3,15000.0
591,444,2,3,15750.0
592,444,2,1,15000.0
593,444,2,3,15000.0
594,445,1,3,13200.0
595,446,1,2,12000.0
596,447,1,3,12000.0
597,448,1,3,12000.0
598,449,1,1,12000.0
599,450,2,2,13500.0
600,450,2,2,15000.0
601,451,2,1,15750.0
602,452,2,2,15000.0
603,453,2,3,15750.0
604,454,1,1,12000.0
605,455,1,3,12000.0
606,456,2,2,15000.0
607,456,1,3,12000.0
608,456,1,2,10800.0
609,457,1,1,13200.0
610,457,2,3,13500.0
611,457,2,1,15000.0
612,458,2,1,13500.0
613,459,1,2,12000.0
614,459,2,1,15750.0
615,460,1,2,13200.0
616,461,2,1,15750.0
617,462,1,1,12000.0
618,462,1,1,12600.0
619,463,2,3,15000.0
620,464,1,1,12000.0
621,465,1,3,12600.0
622,466,2,2,16500.0
623,466,1,2,12000.0
624,466,2,3,15000.0
625,467,2,1,15000.0
626,467,2,3,15000.0
627,468,1,3,12000.0
628,469,1,3,13200.0
629,470,2,3,13500.0
630,471,2,1,15000.0
631,472,1,3,12000.0
632,473,1,1,12600.0
633,474,1,3,12000.0
634,475,2,1,15000.0
635,476,1,2,12000.0
636,477,2,1,15000.0
637,477,2,3,15000.0
638,478,1,1,12000.0
639,479,1,1,12000.0
640,480,2,3,15000.0
641,481,1,3,12000.0
642,482,1,1,12000.0
643,482,2,1,13500.0
644,483,2,2,16500.0
645,484,1,1,12000.0
646,485,1,2,13200.0
647,486,2,3,15000.0
648,487,2,1,15000.0
649,487,2,2,15000.0
650,488,1,2,12000.0
651,489,2,3,15000.0
652,490,1,3,12000.0
653,490,1,2,12000.0
654,491,1,1,12000.0
655,491,2,1,15000.0
656,492,1,1,12000.0
657,493,2,1,15000.0
658,493,2,1,15750.0
659,494,1,1,12000.0
660,495,2,3,15750.0
661,496,2,2,16500.0
662,496,1,3,13200.0
663,497,2,1,15000.0
664,498,1,2,12000.0
665,498,2,3,15000.0
666,499,2,1,15000.0
667,500,2,1,15750.0
668,501,2,3,15000.0
669,501,1,1,12000.0
670,502,2,2,15000.0
671,503,1,2,12000.0
672,504,1,3,12000.0
673,505,1,2,12000.0
674,506,1,3,12000.0
675,507,1,3,12600.0
676,508,2,1,15750.0
677,509,1,2,10800.0
678,510,2,3,15000.0
679,511,2,1,15000.0
680,511,1,2,12000.0
681,511,1,2,12000.0
682,512,2,3,16500.0
683,513,1,1,12000.0
684,514,2,2,13500.0
685,515,2,2,15000.0
686,515,1,2,10800.0
687,515,2,2,15000.0
688,516,2,1,16500.0
689,517,1,3,10800.0
690,517,1,3,12000.0
691,517,1,2,12000.0
692,518,1,2,12000.0
693,519,1,1,12000.0
694,520,1,3,12600.0
695,520,1,1,12000.0
696,521,1,3,10800.0
697,521,2,3,16500.0
698,522,1,2,12000.0
699,522,2,2,15750.0
700,523,1,2,12000.0
701,523,1,1,12000.0
702,524,1,2,12000.0
703,525,2,3,15000.0
704,526,1,2,12000.0
705,527,2,3,15000.0
706,528,2,2,15000.0
707,529,2,1,15000.0
708,530,1,3,12000.0
709,530,1,1,12000.0
710,531,1,2,12000.0
711,532,2,2,16500.0
712,533,2,1,15000.0
713,534,1,3,12000.0
714,535,1,2,10800.0
715,536,1,2,12000.0
716,536,1,2,12600.0
717,537,1,3,12000.0
718,538,1,3,12600.0
719,539,2,2,13500.0
720,540,1,2,10800.0
721,540,1,2,12000.0
722,541,1,1,12000.0
723,542,1,1,12000.0
724,543,1,3,12600.0
725,544,2,1,15000.0
726,545,2,1,16500.0
727,546,1,2,12600.0
728,547,1,2,13200.0
729,548,1,2,12000.0
730,549,2,2,15750.0
731,550,1,2,12000.0
732,551,1,3,12600.0
733,552,1,2,12000.0
734,552,1,1,12000.0
735,553,1,2,12000.0
736,554,1,3,12000.0
737,555,2,3,15000.0
738,556,2,1,15000.0
739,557,1,3,10800.0
740,558,2,2,15000.0
741,559,2,3,15000.0
742,560,2,1,15000.0
743,560,2,3,15000.0
744,561,2,3,15750.0
745,562,1,3,12000.0
746,563,1,3,12000.0
747,564,2,1,13500.0
748,565,1,2,12600.0
749,565,1,1,12000.0
750,566,2,3,15000.0
751,566,2,2,15000.0
752,567,1,2,12000.0
753,568,2,2,15000.0
754,569,1,2,10800.0
755,569,1,1,12600.0
756,570,1,1,12000.0
757,571,2,2,15000.0
758,572,2,1,13500.0
759,573,2,3,15750.0
760,574,1,3,12000.0
761,575,1,3,12000.0
762,576,2,3,13500.0
763,577,1,2,12000.0
764,578,1,3,12000.0
765,579,2,1,15750.0
766,580,1,1,13200.0
767,581,1,2,12600.0
768,581,1,3,12000.0
769,582,2,1,15000.0
770,583,1,2,12000.0
771,584,1,3,12000.0
772,585,1,1,12000.0
773,585,2,1,15000.0
774,586,2,1,15000.0
775,586,1,1,12000.0
776,587,1,1,12000.0
777,587,2,2,15000.0
778,588,2,1,16500.0
779,589,2,2,15000.0
780,589,1,1,12000.0
781,589,1,2,12000.0
782,590,1,1,12600.0
783,590,2,1,13500.0
784,591,2,3,15000.0
785,591,2,1,15750.0
786,592,1,2,12000.0
787,593,1,2,12000.0
788,594,1,3,12000.0
789,595,2,3,15000.0
790,596,1,1,10800.0
791,596,2,1,15750.0
792,597,2,3,16500.0
793,598,2,3,15000.0
794,598,1,2,12000.0
795,599,1,2,12600.0
796,600,2,3,15000.0
797,601,2,3,15000.0
798,602,2,1,15000.0
799,603,2,3,15750.0
800,604,1,1,12600.0
801,604,1,2,12000.0
802,605,2,3,16500.0
803,606,1,1,10800.0
804,607,2,1,13500.0
805,608,1,3,10800.0
806,609,2,3,15000.0
807,609,2,1,15000.0
808,610,1,3,13200.0
809,611,1,1,12600.0
810,611,1,2,12600.0
811,611,1,3,12000.0
812,612,1,2,12000.0
813,613,1,3,12000.0
814,614,1,2,13200.0
815,615,1,1,10800.0
816,615,2,2,15750.0
817,615,2,2,16500.0
818,616,2,2,15000.0
819,617,1,2,12000.0
820,617,2,2,13500.0
821,618,1,3,10800.0
822,619,2,2,15000.0
823,620,1,2,12000.0
824,621,1,3,12000.0
825,622,1,2,12600.0
826,622,2,3,15000.0
827,623,1,3,10800.0
828,623,1,2,12000.0
829,624,2,3,15750.0
830,624,1,3,13200.0
831,625,2,2,15000.0
832,626,1,2,12000.0
833,626,2,1,15000.0
834,627,1,3,12600.0
835,627,1,1,12600.0
836,627,1,3,12000.0
837,628,2,3,15750.0
838,629,1,3,13200.0
839,630,1,2,12000.0
840,630,1,3,12600.0
841,631,2,2,15000.0
842,632,2,1,13500.0
843,632,1,2,12000.0
844,633,1,3,12000.0
845,634,1,3,12600.0
846,635,2,3,13500.0
847,636,1,3,12000.0
848,636,1,1,12000.0
849,636,1,2,12600.0
850,637,1,2,10800.0
851,638,1,3,10800.0
852,639,2,2,15750.0
853,640,2,3,15000.0
854,641,2,2,16500.0
855,642,1,1,12600.0
856,643,1,3,12600.0
857,643,2,2,15000.0
858,644,1,1,12000.0
859,644,2,3,15750.0
860,645,1,2,10800.0
861,646,2,2,15000.0
862,646,2,2,13500.0
863,646,1,3,12600.0
864,647,1,3,12000.0
865,647,2,1,15000.0
866,648,2,1,15000.0
867,649,2,3,15000.0
868,650,1,3,13200.0
869,651,1,3,10800.0
870,652,1,1,12000.0
871,653,1,2,12000.0
872,654,2,1,15000.0
873,655,1,3,12000.0
874,656,2,2,15750.0
875,657,2,1,15000.0
876,658,1,3,12000.0
877,659,2,2,15750.0
878,659,1,1,12000.0
879,660,1,2,12600.0
880,661,2,3,15000.0
881,661,2,3,15750.0
882,662,2,2,16500.0
883,663,2,1,13500.0
884,664,1,1,12000.0
885,665,2,3,15000.0
886,666,2,2,16500.0
887,667,1,2,12000.0
888,668,2,2,15000.0
889,669,1,3,12000.0
890,670,2,3,15000.0
891,670,1,1,12600.0
892,671,1,3,12000.0
893,672,1,2,12000.0
894,673,1,1,13200.0
895,674,2,3,15000.0
896,675,2,3,15000.0
897,676,1,2,12000.0
898,677,2,3,16500.0
899,678,2,2,13500.0
900,678,1,3,12000.0
901,679,1,2,12600.0
902,680,2,3,15000.0
903,681,1,3,12600.0
904,682,2,3,15000.0
905,683,1,1,12600.0
906,683,2,3,16500.0
907,684,1,2,10800.0
908,685,1,1,12600.0
909,685,2,3,15750.0
910,686,2,2,15000.0
911,687,2,3,15000.0
912,688,1,2,10800.0
913,689,2,1,15000.0
914,690,1,3,13200.0
915,690,1,3,13200.0
916,690,2,2,15000.0
917,691,1,3,12000.0
918,691,1,2,12000.0
919,691,1,1,13200.0
920,692,1,3,12600.0
921,693,1,2,12000.0
922,694,1,2,12000.0
923,695,1,3,12000.0
924,696,2,1,15000.0
925,697,2,3,15000.0
926,698,2,1,15000.0
927,699,2,1,15000.0
928,700,2,1,15000.0
929,700,1,3,12000.0
930,701,2,2,16500.0
931,702,1,1,12000.0
932,703,1,2,13200.0
933,704,2,1,15000.0
934,705,1,3,12000.0
935,706,2,3,15000.0
936,706,2,1,16500.0
937,707,2,3,13500.0
938,708,2,3,15750.0
939,709,1,1,12000.0
940,710,2,1,15000.0
941,711,1,1,12000.0
942,712,1,3,12000.0
943,712,1,3,12000.0
944,713,2,3,15750.0
945,714,1,3,10800.0
946,715,2,1,15000.0
947,716,1,1,12000.0
948,717,1,2,12600.0
949,718,1,1,12000.0
950,718,2,2,15750.0
951,719,2,3,15000.0
952,719,1,2,12600.0
953,720,1,2,13200.0
954,721,1,3,12000.0
955,721,1,2,12000.0
956,722,1,3,12000.0
957,723,2,2,15000.0
958,724,1,2,10800.0
959,725,2,1,15000.0
960,726,1,1,13200.0
961,727,1,3,12000.0
962,728,1,2,12000.0
963,729,2,2,15750.0
964,729,2,3,15750.0
965,730,2,2,15000.0
966,730,2,2,13500.0
967,731,1,3,12000.0
968,731,2,1,15000.0
969,732,1,1,12000.0
970,733,1,3,12000.0
971,734,1,2,10800.0
972,735,2,2,15750.0
973,736,2,3,15000.0
974,737,1,1,12000.0
975,738,1,3,12600.0
976,738,2,3,15000.0
977,739,1,1,10800.0
978,740,2,1,13500.0
979,741,2,2,15000.0
980,741,1,3,12000.0
981,742,2,3,15000.0
982,743,1,1,12000.0
983,744,2,1,15000.0
984,745,1,3,10800.0
985,745,1,1,10800.0
986,746,1,2,12000.0
987,747,2,1,13500.0
988,747,1,3,12000.0
989,748,1,2,12000.0
990,749,1,1,12600.0
991,750,1,2,13200.0
992,751,2,3,15750.0
993,752,2,3,15000.0
994,753,1,3,12000.0
995,754,1,3,12000.0
996,755,1,3,12000.0
997,755,2,3,13500.0
998,755,2,3,15000.0
999,756,2,2,16500.0
1000,756,2,2,15000.0
1001,757,2,2,15000.0
1002,757,1,2,13200.0
1003,758,1,3,12600.0
1004,759,2,3,15000.0
1005,760,2,2,15000.0
1006,761,1,2,12000.0
1007,762,1,1,13200.0
1008,763,1,2,10800.0
1009,764,1,3,12600.0
1010,765,1,3,12000.0
1011,766,2,3,15000.0
1012,767,1,3,10800.0
1013,768,1,1,10800.0
1014,769,1,1,12000.0
1015,770,1,1,12000.0
1016,770,1,1,12000.0
1017,771,2,1,16500.0
1018,772,1,2,12000.0
1019,773,2,3,15000.0
1020,774,1,2,12600.0
1021,775,1,3,13200.0
1022,776,1,1,12000.0
1023,776,1,3,12000.0
1024,777,1,3,12000.0
1025,778,2,2,15750.0
1026,779,1,1,12000.0
1027,780,1,2,12000.0
1028,781,1,3,12000.0
1029,782,1,3,12000.0
1030,782,1,3,10800.0
1031,782,1,1,12000.0
1032,783,1,1,10800.0
1033,784,2,2,15000.0
1034,784,1,2,13200.0
1035,785,1,2,10800.0
1036,786,2,3,15000.0
1037,787,2,3,13500.0
1038,787,2,3,15000.0
1039,788,1,2,12000.0
1040,789,2,3,15000.0
1041,789,1,1,12600.0
1042,789,1,3,12000.0
1043,790,1,2,13200.0
1044,790,2,2,15000.0
1045,791,2,1,15000.0
1046,792,2,1,15000.0
1047,793,2,2,15000.0
1048,793,1,2,12000.0
1049,794,2,3,15000.0
1050,795,1,3,12000.0
1051,795,2,3,15000.0
1052,796,1,1,12000.0
1053,797,1,3,12000.0
1054,797,1,3,10800.0
1055,797,1,1,12000.0
1056,798,2,2,15000.0
1057,798,1,3,10800.0
1058,799,2,1,15000.0
1059,800,1,2,12000.0
1060,801,1,3,12000.0
1061,802,1,1,12600.0
1062,802,1,1,12000.0
1063,803,1,2,12000.0
1064,804,2,3,15750.0
1065,805,1,1,12000.0
1066,806,1,1,10800.0
1067,807,2,2,13500.0
1068,808,1,3,12000.0
